eps1,eps2,ax,ay,az,eul_z,eul_y,eul_x,tx,ty,tz
8.182670730680834392e-01,1.017936561913800109e+00,3.869065021002565663e-02,2.438116872561371107e-01,4.188176991831806667e-02,8.063383378227295673e-01,6.188693655070949262e-01,2.371205179533892426e+00,-3.071403116891488483e-01,1.347872823819914467e-01,3.776951477702946702e-01
1.808109248130636282e-01,1.061940021643523746e+00,3.766996761159764617e-02,3.613471743197392561e-02,2.707134492712942597e-01,9.420507194373943516e-02,-3.922269274082040152e-02,1.191772537548863031e-01,-3.968459066341239461e-01,-7.518619451841088708e-01,-5.233097921228573313e-01
1.834772318485380915e-01,8.736507408372298222e-01,3.574152908478230722e-02,3.582346215205384210e-02,2.789322144811653970e-01,8.631543984995272423e-01,1.078109215232480322e-01,-5.586496802871675216e-02,-3.971377941885252394e-01,-7.528304079690513184e-01,5.351039259454770658e-01
8.798236611009024877e-01,7.145821178827603815e-01,3.172816295803902453e-01,7.484565660371782225e-02,3.573439991453520453e-02,-2.040910928286182244e-03,-1.559015734338527803e+00,-1.919756186125687991e+00,-2.448358284698166354e-01,-1.112604099377537126e-01,-6.188506951476889333e-03
3.789771035388170631e-03,6.317056219323773369e-01,3.948078615601854219e-02,3.984368111132950696e-02,3.277793277885381884e-01,1.571277977471805531e+00,-1.659548932799320003e-02,1.570564989267377420e+00,7.540868318156294763e-03,-2.922012284448050612e-01,-3.739726689531395198e-01
6.103822231370591156e-03,1.774395213078933553e+00,4.583730343793555873e-02,4.788163048262530225e-02,3.293038456451453100e-01,1.570877347851988626e+00,-4.902463223567161445e-03,1.570215935305931731e+00,7.875500094484910035e-03,-2.922302665473303085e-01,4.039620236147432597e-01
9.864785174454202554e-01,1.236044863101291913e+00,4.176153482518302901e-02,5.826536044300933276e-02,1.933984544679053230e-01,-1.591891040464776585e+00,-9.365610402748847374e-01,-1.548557817251866586e+00,3.952860744694023341e-03,9.176311154763490407e-02,4.900675450249900034e-01
3.683377160546569273e-01,5.295425411157514972e-01,1.680311652467688099e-01,2.978375907218546240e-02,5.496851046285335107e-02,2.021994808068131933e-04,6.651307914066498727e-05,-9.944804942109449278e-03,1.012687146921463499e-02,-1.617486359378416672e-01,1.972094698875749910e-02
7.887292586894376623e-01,7.984244587087823142e-01,3.480379866225027929e-02,3.144257236054313620e-01,7.474808505009246373e-02,1.924580028555771039e+00,5.613674604781412371e-03,1.553575123372263889e+00,2.643228052341746181e-01,-1.109925518125659955e-01,-6.465412356060303012e-03
2.413264231742504040e-01,8.847917858105982525e-01,3.244672346982418326e-02,3.949649708095279155e-02,3.346177420891885967e-01,1.604384482231272724e+00,-4.677578564986973469e-02,3.829909896909538224e-03,4.157884566970692641e-01,-7.768438664149496242e-01,-2.305112453879939460e-01
2.240725405026281203e-01,8.788922112459663927e-01,3.241016797107463404e-02,3.948299379965292122e-02,3.379101466579521595e-01,1.601859607222997139e+00,4.560910533184218268e-02,-3.569448411957354319e-03,4.157516042068546414e-01,-7.768253864672406417e-01,2.461329467690387407e-01
6.909975531547908334e-01,3.893758822886894677e-01,2.825033846668929538e-01,3.402202535069891176e-02,3.599868912495139683e-02,-1.377609691136947978e+00,-1.448344211093201883e+00,5.861805239472761553e-01,4.131386481916179410e-01,-7.532118899431137216e-01,-5.177485315553648215e-01
3.510690447945022385e-01,9.248982115050650155e-01,3.476745188742019071e-02,3.682566017679531761e-02,3.160806812460534854e-01,7.453358949265267430e-01,5.571832002975239673e-02,-1.011362528177856962e-01,4.140733516698195116e-01,-7.563396850641880276e-01,5.023923559500070857e-01
