eps1,eps2,ax,ay,az,eul_z,eul_y,eul_x,tx,ty,tz
9.917391146945603309e-02,6.969625412555713329e-01,4.852440025572755944e-02,4.406910812279516559e-02,4.307307807347884321e-01,-1.202324630659869387e+00,-1.573347911666974852e+00,-1.309321157319516482e+00,1.090167798256936049e-01,-3.570596927251304398e-01,2.826324635571525468e-01
4.178698585394841764e-02,5.297500329086518578e-01,4.177495929141643305e-02,4.875741139120493700e-02,4.790030589729478150e-01,1.484258258689916078e-03,5.703563520570885859e-05,-1.409786491251151144e-04,4.144927238270334491e-01,-4.078601747226968249e-02,-5.999702022778016786e-02
2.329177620811428637e-02,2.691528226039343608e-01,4.034723036308580923e-02,4.472656816000850077e-02,4.771774340684529214e-01,1.893141673071608092e-03,-3.245189178048745935e-05,-2.005047240533013478e-05,-3.948330009366467497e-01,-2.576485786113936749e-01,-6.223885669844036322e-02
5.337748948686084349e-02,2.844321946078433028e-01,7.082486499735797525e-02,4.412867808523317920e-02,5.168243720551624065e-01,-3.988259710016496193e-03,-2.259711752836640028e-05,-2.078798418455620443e-04,4.437725135553767242e-01,3.583468680156851605e-01,-8.408956066023100251e-02
1.557585529565323201e-01,6.403898605567850399e-01,4.476591136729438092e-02,4.421337808791508256e-02,4.337094006113772493e-01,2.932912782001297902e+00,-1.572070232910835808e+00,2.720536964663779145e+00,-8.971771004279281703e-02,-3.563073127930601602e-01,-4.084317529523615042e-01
4.860352008753364428e-02,1.382687807955131909e+00,7.124311986750656023e-02,7.390578906350384059e-02,3.559559858066223548e-01,-3.141920172812044498e+00,-7.806947375726183136e-01,1.570379662425583467e+00,-4.069347885124128816e-01,-4.552180286982509538e-01,3.587156647081025662e-01
3.019043815990677948e-01,5.416422690911216753e-01,8.800840471594448267e-02,4.792780151958844076e-02,1.705030315183887479e-01,-6.282218642343992965e-01,-1.422739330808425740e+00,-9.273948432416430077e-01,4.192737897707634054e-01,2.294125582489837945e-01,3.910103089669836329e-01
2.631377633709823527e-02,8.493196186226305011e-01,6.658832454491400710e-02,6.662266764095457761e-02,3.880921372500271693e-01,-3.141015398741954012e+00,2.820385267200110208e-02,1.572082925119708818e+00,4.242984179324784111e-01,7.115997627911659074e-03,-4.841523788245540305e-01
1.154752294743763841e-01,3.391139996206894713e-02,3.990358656743803190e-02,5.203644544788647019e-01,7.191428791878254345e-02,1.571622169814419046e+00,1.352910837111369563e-04,1.570809987800081853e+00,-4.227222991393267959e-01,3.542501774670262504e-01,-8.258180295201658638e-02
3.340308332323177823e-03,6.973954723765103392e-01,6.259035494259329591e-02,6.245932514534711932e-02,1.378329263396490534e-01,1.258493128963107166e+00,-1.561139088279783094e+00,-2.826014584428227838e+00,-4.037816397513678268e-01,-6.384484611136158616e-01,-4.836842754144360934e-01
1.552149678534237853e-01,6.849462862338442370e-01,4.673270542024442198e-02,4.475783735256223111e-02,2.632181925992293503e-01,1.507183182553457623e+00,-1.576249535520214407e+00,2.264102862863356158e+00,-2.184712926049301174e-01,-5.952648669070698118e-01,2.823186070153262950e-01
2.321301031449307106e-01,6.853894174700792159e-03,3.965938935759504708e-02,3.741207684391859023e-01,4.439954245059181404e-02,1.626939820821362348e+00,-1.570977629502439576e+00,2.450670428312960336e+00,-1.333456176278953742e-01,-3.222416124922651837e-01,3.135603707265005591e-01
4.220215735270713142e-02,1.446140448908407761e+00,7.218973487102559039e-02,7.663366581233427288e-02,4.721533002398164980e-01,2.470615867280295764e-04,-8.294987326493766799e-01,-1.570115361550931121e+00,4.272950203676140202e-01,-3.400649092852591759e-01,3.579220425446242859e-01
4.515543922361157925e-02,6.062417578385129735e-01,4.435670879697081043e-02,4.400674528710000338e-02,3.564920580787621085e-01,2.206485256397193062e+00,-1.637003076064324006e-02,1.570882567913544747e+00,1.725254511175536021e-01,-3.084268340195347458e-01,-4.392830377019363297e-01
4.346940963348656928e-02,8.355992182636445831e-01,6.586893357051545883e-02,6.605935892758174610e-02,3.492460896033678375e-01,-4.113932451679156691e-04,-5.308468013587213166e-03,-1.571401802352210053e+00,4.246686134625332065e-01,-4.621305060266183706e-01,-4.844575282213306466e-01
2.134046067626246268e-01,1.092193661088730616e+00,4.427210625596482430e-02,5.079885059461497487e-02,2.347970172708906123e-01,-1.822873658415866016e+00,-1.371800832148948102e+00,2.574696991006832913e-01,4.217512759356769614e-01,6.005799699206955111e-01,5.176511825026395286e-01
3.528361191541967007e-03,8.091841461623743292e-01,7.206088153663019191e-02,6.378728945876831202e-02,1.800508672827807466e-01,-8.872116319429931286e-01,-1.497874122098510341e+00,-6.828403651838700350e-01,4.237197543358530161e-01,-1.139740836430295015e-03,3.615737617596399001e-01
3.366173417817448690e-03,8.452125224670710146e-01,6.646344394360879926e-02,6.660276420777495876e-02,3.939388023992965171e-01,3.111618526274575913e+00,1.527602040048094301e+00,1.542002513511995465e+00,-4.042420989459720171e-01,-3.738137689676406805e-01,-4.845029992531592056e-01
3.122447958074332092e-03,8.803194462804412312e-01,6.737768021584969458e-02,6.776742530717778934e-02,5.029991860036577833e-01,-2.187735466134466860e-04,2.082379979679331930e-02,-1.570863102871835615e+00,-4.042346919572942787e-01,-1.075670036248799061e-01,-4.844188660990181861e-01
5.415537942202707233e-01,3.658971594461771226e-02,4.810325820544002901e-02,2.011545933820927390e-01,8.559926021436164989e-02,-6.499948880273645826e-03,-9.023405378446566760e-02,1.199708243931629503e-01,-4.010262061073938122e-01,1.998047643730884726e-01,3.903165809520910412e-01
1.626481602733363674e-01,6.489131915952960350e-01,4.551529504512738522e-02,4.455155350723694757e-02,2.681780791182297730e-01,2.206260053492387296e+00,-1.581833673956167807e-02,1.571558623019321699e+00,-2.240526139758743374e-01,-6.007176776234464111e-01,-4.405263450685821258e-01
1.097937078272439027e-01,4.410478391117253483e-01,4.049035715527356249e-02,4.541964995724560861e-02,2.541824922580355750e-01,1.330548118613566144e+00,-1.569949630195470514e+00,1.176381040154012902e+00,2.517529239315430267e-01,-6.062484306022574154e-01,3.145990593495929799e-01
1.973959071462580706e-01,6.493786079403646161e-01,4.481396373047165371e-02,4.409753102304195954e-02,2.695812871032594593e-01,9.411838868953299464e-01,9.027119510167987831e-03,1.569285909515045541e+00,2.353102242975665392e-01,-5.925993574899965921e-01,-4.077853914929281953e-01
1.981322342615609786e-02,4.010809239533182358e-01,4.884332620691769072e-02,4.929534510879193115e-02,4.769702013281922892e-01,1.570752207540251355e+00,-5.124000078205996096e-05,-1.787155082307868544e-04,4.242871630235903746e-01,-2.616404421778658618e-01,-6.238360281467755786e-02
7.450554785332280661e-01,6.024428745641399047e-02,2.079486202630775049e-01,6.255026074255946866e-02,7.031338365945138946e-02,1.593503659703417119e+00,-5.955444614457193475e-02,3.445196786638941855e-02,-4.028413111290947701e-01,-3.986067741875665149e-02,3.565878707306052720e-01
1.898771599948294031e-01,1.100227023134367599e+00,4.421767911708339438e-02,5.107625155211104051e-02,2.266796491090353194e-01,-1.281824921613641699e+00,-1.369767815411339296e+00,-2.946679935309546305e-01,-4.014299886597151312e-01,5.997493093815866594e-01,5.175321454486386807e-01
1.732104270217025288e-01,7.124751623639712372e-01,6.289654876747277634e-02,6.300479784383425375e-02,1.784831191826971586e-01,3.561210066757412585e-01,-1.547071216969648999e+00,-1.924181457315090826e+00,-4.039529520269488638e-01,-6.371647954775970790e-01,-4.837052763210951678e-01
1.120787371358382023e+00,3.017958558374073119e-01,4.855727546429478708e-02,3.183254930072733080e-01,4.760752428921898732e-02,6.186940232126647045e-03,2.656849530218837255e-02,1.744539375717237828e-01,-4.043688818516291139e-01,3.678057611301651098e-01,4.723917087579176943e-01
4.088346574019587586e-03,5.334999366897571482e-01,4.177832658421937878e-02,4.201275437759847270e-02,4.805768539006559092e-01,7.779172512860736965e-01,1.444989970660288188e-04,1.006310296421371125e-04,-4.041262411299021973e-01,-3.941593357579099149e-02,-5.900498183046225947e-02
3.970378740084248848e-01,2.782211001651590521e-01,1.010312526111023096e-01,2.424242424242424587e-02,4.485545645192014486e-01,-2.925817356053503904e-01,2.657483572388803436e-03,9.683814829028149955e-05,-3.410782038515980386e-01,-4.514836896359504526e-02,-3.457488180824134366e-02
1.899319800811528347e-01,1.186400493398919398e+00,2.681283929018160941e-02,2.438646909956071474e-01,9.391327531755309932e-02,-1.802615065200930733e+00,-1.376745270514197594e+00,2.318388785943351904e-01,-3.957025208780542980e-02,5.508507915679190514e-01,5.579348552931465699e-01
1.094249383517279961e+00,1.034330783764304817e-01,2.289290516923387364e-01,1.836210856433208305e-01,2.774640446496841675e-02,-2.459131542298251955e-02,-5.438268619007835883e-03,1.835946779748450775e-01,-4.000636354662781037e-03,6.286311296973401408e-01,5.749909536352656447e-01
6.419547595519949079e-02,1.077484042749444315e+00,1.878253931552558154e-01,2.434597662824630054e-02,4.411699493307781883e-01,-2.123142961860320921e-01,2.030757017657258418e-04,-3.572371279936275902e-06,-2.497517431043778657e-01,-6.670718007805474803e-02,-3.395075326573648855e-02
1.923407615994180142e-01,1.211403586438354552e+00,2.616681378672946687e-02,2.358491518047137747e-01,1.444859227382487010e-01,-1.568359635195654578e+00,-1.375564176041853548e+00,-7.730873372904832966e-03,1.009565340996947114e-02,6.578964072380153461e-01,5.812628966278795550e-01
2.028561848998691186e-01,1.588299141903613654e+00,2.802676012274903927e-01,2.424242424491339018e-02,4.444513850139240052e-01,-7.489384902308594241e-05,-6.350265344901418092e-03,3.690692290966664013e-05,1.013222831999954776e-02,-9.319063152769907488e-02,-3.354466388179559722e-02
6.411721312782600601e-02,1.076154584335057063e+00,1.877728296549444342e-01,2.434492832146243138e-02,4.411126551009241226e-01,2.122329470917395100e-01,-2.043358367705225157e-04,-4.291600709918055441e-06,2.699397733469434679e-01,-6.671118037412988866e-02,-3.398647599828418658e-02
4.110135216696866323e-01,2.653855396873566752e-02,1.665572856377689204e-01,1.758602392219060784e-01,2.464906263954567273e-02,3.800860876449907444e-02,2.367780896263174395e-01,2.000959083627890933e-01,2.975873145373181261e-01,6.352910004662090104e-01,5.406746927212372489e-01
5.445211926193551655e-01,4.222262023847512397e-02,1.800060572101068179e-01,4.491626118355519504e-01,2.424242424245249411e-02,-2.935911069898450521e+00,3.747953272411668358e-03,1.571069197908325332e+00,2.894071851060300293e-01,-6.191286990329349094e-02,-3.417327954894208014e-02
3.781695971695517300e-01,2.179631760765811041e-03,1.673393439710433028e-01,1.756073940973001402e-01,2.465744026590744459e-02,-4.021454918406635465e-02,-2.257597683545753964e-01,1.986384715878044271e-01,-2.775130462936081233e-01,6.355189529908241708e-01,5.417151588883284408e-01
