eps1,eps2,ax,ay,az,eul_z,eul_y,eul_x,tx,ty,tz
5.025335708565789039e-01,8.767609224382967303e-01,4.307642159392618270e-02,4.151509526811454631e-02,3.010033192381574296e-01,-1.445595052507583800e+00,-1.040662620130215599e+00,-1.842664923841479951e-01,-5.268475795403421147e-01,-5.261875940262721318e-01,-5.246762371957012228e-01
3.925079245885493839e-01,9.081009796922425714e-01,3.964815518677580058e-02,4.509691054256934062e-02,2.857161280240325674e-01,1.381050193920632940e-01,-3.695404549979791620e-01,-2.140979025188564311e+00,-5.261079051959531849e-01,-5.310092283147457293e-01,5.493034806030402395e-01
4.069466634746610745e-01,6.805453584834607605e-01,3.463002313760790013e-02,4.711560113772862712e-02,2.918071360671656844e-01,-1.555879643408792035e+00,-1.044818644191038537e+00,-9.358947740365708423e-02,-4.964068415735058415e-01,-1.824932271229870728e-01,-3.178003805478981092e-01
3.125948247674041891e-01,8.066306371532906416e-01,4.069397763484116498e-02,4.259271195743376259e-02,2.019336152347628865e-01,1.403105239423833694e+00,-1.041639336265946181e+00,3.212417612602987305e+00,-4.876627708638328063e-01,-9.964735235819935366e-02,2.956585575224875417e-01
4.834411551859871259e-02,2.822791631006281721e-01,3.662674270207184057e-01,4.323164746737789832e-01,3.953295757206009425e-02,2.553262757632581703e+00,-1.570331481302227772e+00,2.159142017356810772e+00,1.130430842371780119e-02,1.717886900496763680e-01,1.341615421650954598e-02
5.590984965623446712e-02,6.574970901584211228e-03,3.534352420034161252e-02,3.516722938723789577e-02,3.425753103501140706e-01,1.570800752168514336e+00,-4.474072628694559239e-01,1.570790928804428610e+00,7.544180694319203850e-03,4.546543708159643815e-01,4.343166723298976239e-01
2.207670947772029935e-01,5.245523790151456200e-01,3.425053890849982796e-01,2.294839149770302733e-01,3.443166494030996255e-02,-4.305620716189179596e-03,1.319270791804661109e-03,2.931707226999244464e-01,9.663293936672010670e-03,5.566163373515555790e-01,4.646242401574072756e-01
7.167469983857950588e-02,1.999999999999950040e+00,1.573500752828833338e-01,3.906724423672743723e-02,3.439531417995129736e-01,-1.570597215771684541e+00,3.006802886095495952e-01,-1.570782805210729771e+00,7.653442870507852318e-03,3.137866395356203042e-01,3.939436883277513957e-01
2.610326268879055167e-01,1.621723915707500366e-02,2.032559028559369207e-01,3.444265641840805192e-01,3.312746306755489506e-02,-1.573820844611766079e+00,2.849424816764913881e-01,-9.606779430895852172e-04,7.496348780227442450e-03,4.554310390656378660e-01,4.349649829087690600e-01
1.814350026087893364e-01,8.322237254785694871e-01,3.162177155933850736e-01,1.906139178690172409e-01,3.772783613758326493e-02,2.385778251130619976e-02,-6.787517920995623372e-03,2.762570828076710283e-01,1.179107603679795287e-02,6.535390310872910558e-01,4.919908246808841201e-01
3.909686755947848757e-01,7.407995091517757258e-01,3.551047236226997916e-02,4.696727801099814803e-02,2.587904027589340017e-01,-1.584647947132033163e+00,-1.046496628890830616e+00,9.865881785060921783e-02,5.156329529162629877e-01,-1.668842461936428934e-01,-3.091588396091465851e-01
3.104984697246979675e-01,8.061898776117525367e-01,4.071594559392890944e-02,4.257582808329044011e-02,2.017272796721999439e-01,1.744282893881539120e+00,-1.041570209615119813e+00,-3.217487924436953417e+00,5.078673007479428403e-01,-9.956681026333433215e-02,2.956475398278526345e-01
4.411615245903301452e-01,9.167398771984295314e-01,4.480688478119078388e-02,3.982455240761939574e-02,3.223496808521776891e-01,-2.156829606899075991e+00,-9.323848901885826157e-01,5.726633621886915160e-01,5.473154204655702459e-01,-5.400916569315324933e-01,-5.345670794559838068e-01
7.522146050576783427e-01,7.060842813973074172e-03,4.166797706835607268e-02,2.645291965806340628e-01,4.190156430232078177e-02,7.134444418541803501e-02,-7.937444954413468493e-03,-5.287824944875600952e-01,5.464343140735590243e-01,-5.126660731181204023e-01,5.349398688695039539e-01
1.749449374423909381e-02,6.369797900790533651e-01,7.090076932933941922e-02,3.981053199537427228e-02,4.337112318173414471e-01,1.570851984779372934e+00,2.393833278952842425e-01,1.570781585734778218e+00,1.100506754468059088e-02,1.408271096128733690e-01,-1.575078741121445636e-01
1.781267788876847100e-02,6.375050466553786599e-01,7.090340330417811698e-02,3.982565232348614370e-02,4.337355268373432882e-01,1.570853581289458623e+00,-2.394461003963495038e-01,1.570805336521299278e+00,1.100546330644386860e-02,1.408263905759942203e-01,1.777161168941268354e-01
1.714276554468513181e-01,4.956271481240233645e-01,4.793747529242611827e-02,3.529194192728420804e-02,9.581349356908697157e-02,-1.424744290325272944e+00,5.630037931050965172e-01,-1.480929920998760974e+00,-4.114452432711248053e-01,1.172070652910557897e-01,-1.467683792179650393e-01
1.264344319428714614e-01,5.403358091189935930e-01,4.851626065266776561e-02,3.529772843839728419e-02,9.495954178230514575e-02,1.681144219483208024e+00,5.559499629503503737e-01,1.633932029055522150e+00,-4.110423298491054367e-01,1.180836596995259447e-01,1.661468040191765860e-01
1.169826037554893450e+00,1.482588177498294635e-01,3.963388697461715099e-02,8.067641464841567023e-02,6.007760192438247465e-02,-1.407830946266898531e+00,-1.125374595419191159e+00,-8.937812343652251634e-01,4.668353590935925834e-01,1.102663781243957697e-01,-1.531035385075232846e-01
