eps1,eps2,ax,ay,az,eul_z,eul_y,eul_x,tx,ty,tz
8.842432994900678578e-01,1.123786163514758796e+00,2.987072633669441424e-01,1.915491362886953264e-01,3.471025697547738820e-01,-2.412693530966004030e+00,-1.552449947149544318e+00,2.415135952948909814e+00,1.079377737630446421e-02,2.997915574996363741e-01,3.970837165862003276e-02
1.021974798800389550e+00,9.163510509071646215e-01,2.377290823339434922e-01,1.761173219502448761e-01,1.252821936858861951e-01,-4.504927497471055808e+00,-1.318457089682016692e+00,4.104153519689988983e+00,-6.031120183355846986e-01,3.340292015143062065e-01,-3.894707600095483890e-01
6.503417225350257569e-01,9.497379813728895614e-01,5.911799869799310575e-02,7.094067134656240059e-02,2.221700299903189013e-01,1.494939822790622097e+00,-1.009829442662583343e+00,2.217070387731538084e+00,-4.350018423414072632e-01,1.433766955360182838e-01,2.552450706440096417e-01
9.130109591173296568e-01,6.892622806955540637e-01,4.946357610999227439e-02,2.301515974803089726e-01,8.597596613042082780e-02,1.575455217094807070e+00,-1.833497141570135935e-01,1.380843376802753486e+00,-3.280596118694710794e-01,3.398902679989582176e-01,5.262669318370137850e-01
1.690603777115097017e+00,1.104240220085329627e+00,4.003490978761079511e-01,1.501382090326139618e-01,2.114119360962545824e-01,2.825383403174069885e-02,3.862532165956205632e-01,3.285329049863808581e+00,-1.084672377718054470e-01,3.107440887708010080e-01,-8.166903768816374809e-02
1.339171965179584589e+00,1.856918823101024740e+00,1.715483606770570602e-01,1.320633217202050458e-01,2.632100305354528880e-01,4.316884344836913190e-01,1.202032549881675516e+00,4.465344904292887218e-01,1.270890161563417720e-01,3.164085043887840953e-01,-1.362376478399391633e-01
1.209359848266046367e+00,7.885142477543727324e-01,1.120863477670049346e-01,2.499359349018912546e-01,1.135667678438091188e-01,2.019649627940678371e+00,1.366073558154026757e-01,4.261884594285955119e-01,4.680102862994072743e-01,3.162029621420433534e-01,-3.589240321064314510e-02
1.054490452784393240e+00,1.132869709621697529e+00,1.082160817804706521e-01,2.920461775032903162e-01,7.536058143155005551e-02,1.514239984244392101e+00,5.762840994240777670e-01,1.272990725005443968e+00,-6.394010497025570672e-01,2.343043185822130670e-01,-4.949146050336520331e-01
8.300916677803065191e-01,1.209633865444447176e+00,1.182565996330918884e-01,1.066723959739931116e-01,2.429710344921900134e-01,1.182189382072925454e+00,-1.585272079393341416e-01,1.083586423978832203e+00,-4.733241351503665317e-01,3.354768730674720922e-01,-5.879663615547222472e-02
9.442395903739306817e-01,4.252208822846361702e-01,2.058708508520514513e-01,5.555595237460880104e-02,7.181235456642343085e-02,5.797269149954201728e-01,-1.522742890090784951e-01,1.562411532338455755e+00,-4.205440683956563341e-01,7.972125742279254079e-02,7.704890003451746183e-02
4.849735760037304222e-01,1.019216138784316827e+00,6.190595640630245505e-02,5.425769270027512581e-02,2.398286291644348422e-01,1.154010586935066696e-01,-1.727575899382539915e-01,-2.104305801785875119e+00,-5.765898678791143706e-01,-9.871984533526304006e-02,3.973622146180946779e-01
