eps1,eps2,ax,ay,az,eul_z,eul_y,eul_x,tx,ty,tz
8.262427837681217691e-01,1.134453294562836057e+00,1.914251924265305826e-01,2.982239055718893805e-01,3.390239403753630976e-01,1.575435424843794285e+00,-3.055305466497696895e-02,1.546790926119302023e+00,1.355575488725680941e-02,2.983038400194328865e-01,3.973696733466861031e-02
9.632227235231618501e-01,8.824575386494628582e-01,2.264684742004215157e-01,1.727996067267704439e-01,1.238702469267349421e-01,1.745170811831976865e+00,-1.311994203568496609e+00,-2.147052539400835069e+00,-6.008827796136317900e-01,3.324791812847787131e-01,-3.851330020461214976e-01
7.439864554714814560e-01,8.157742922020817522e-01,7.060191194220528932e-02,2.322715106272522090e-01,5.875534586509009033e-02,-8.940950601018685662e-01,-4.683937014155591938e-01,-3.571996044787055791e-01,-4.367565738555940769e-01,1.432824798055669924e-01,2.542435943111113206e-01
8.687006079401462522e-01,6.840525181668826171e-01,4.815020070845515976e-02,2.216992798262353292e-01,9.001689228510489915e-02,1.555569653870219282e+00,-1.515899107318941785e-01,1.459277152194953686e+00,-3.261179429908485083e-01,3.332722353542574290e-01,5.488538664032405201e-01
1.912500563023281419e+00,8.267971661679450746e-01,3.130314184589000348e-01,1.409548595421326600e-01,1.906782966602908469e-01,-1.278371454801047018e-02,3.557051901672243499e-01,1.793389220666240513e-01,-9.697087877169877079e-02,3.128235515564517510e-01,-1.211431519647257204e-01
1.181930142038433829e+00,7.732415779290434665e-01,1.083557344593163024e-01,2.227525295590812304e-01,1.085762152430250066e-01,2.071698900926284725e+00,2.210874405379634755e-01,5.451713997993838934e-01,4.947205409445298296e-01,3.296983905900748857e-01,-4.643327462258967780e-02
1.044167321453172814e+00,9.854234116243114627e-01,2.850509360152437277e-01,9.935805331288090347e-02,7.668923047346941357e-02,2.039326721969188405e+00,-9.291398575933839110e-01,-1.993251898073192141e+00,-6.353588542653558768e-01,2.288189904816899378e-01,-4.961204427776569892e-01
1.228423615421689208e+00,8.072547348729931516e-01,2.700875980048061398e-01,1.173721997672182160e-01,1.254354249172293934e-01,-4.407182643586166626e-01,-1.296226896257532402e-01,3.505966314850634813e-01,-3.976037175124431111e-01,3.010097622784311255e-01,-4.867791444323726902e-02
9.773168485881817968e-01,4.704233232994790015e-01,2.386922647257428975e-01,5.481731879885634595e-02,6.561073301726971785e-02,1.427010846775177644e+00,-6.716681305424873627e-02,1.144458588647331521e+00,-5.607300612176604471e-01,-1.495922444234644433e-01,3.379239933866017703e-02
4.137430021207403330e-01,9.332027096027004642e-01,6.174635172415417900e-02,5.524441957089836625e-02,2.366344670645152970e-01,1.561225635005275558e-01,-2.445369662956729251e-01,-2.111121614875619557e+00,-5.738409896506998509e-01,-9.625735854151488968e-02,3.946765317504434267e-01
8.331788775018886817e-01,9.262469565846460640e-01,6.259899531670219675e-02,7.530499650036064085e-02,1.928400692597936061e-01,-8.161299250969286101e-01,-4.607791031826064532e-01,3.180573569122018718e+00,-5.405565248588565241e-01,3.554572775564464604e-01,-6.247463835581286151e-01
6.359157611518961861e-01,1.006209726430041140e+00,7.125039263870734663e-02,6.127111659294182111e-02,2.189041633273532128e-01,-5.537111813616565348e-01,-6.951591775615489910e-01,8.006624746924558833e-01,-3.442472111383904076e-01,2.195250987074008342e-01,3.314967039347519462e-01
4.228587923180391894e-01,8.332237434328303438e-01,8.945303139933913350e-02,1.607082100656708479e-01,3.969885643900047251e-02,3.126281441073304634e+00,-5.868435869946740935e-01,1.571321753099535146e+00,-3.069165607765758641e-01,3.136802357841759759e-01,6.887162323155542332e-01
9.912861023284916806e-01,6.790657635640924283e-01,1.754968056697754353e-01,6.163727736898627629e-02,7.122409000000262669e-02,-8.797077002908981758e-02,6.906994192182082104e-01,2.455164450285320377e-01,-2.554789190043271208e-01,3.579469563744869243e-01,3.652686772046719321e-01
6.044205222466910721e-01,8.645754741093236717e-01,5.969411850348705501e-02,7.171110781346069774e-02,2.317484146172328618e-01,1.578339566275214656e+00,-1.009840321756308779e+00,-1.961474790419596603e+00,4.580529073881381974e-01,1.665018828363211412e-01,2.260516284678271703e-01
8.110628541436987193e-01,9.612217133595654106e-01,1.124437850044694570e-01,1.216876014052579863e-01,3.251362285815870834e-01,1.979068040680634244e+00,6.672569222899512598e-01,1.691638554504040881e+00,3.161180584382518588e-01,2.647889991878205618e-01,-1.765303418591778611e-02
