eps1,eps2,ax,ay,az,eul_z,eul_y,eul_x,tx,ty,tz
2.850296119060312661e-01,8.442067415425082988e-01,3.637336568946047954e-02,5.547187445279912893e-02,2.404196093748824925e-01,1.680678889451953761e+00,1.296470031025597110e-02,1.220391188837950169e+00,-4.842251603327969445e-01,9.836883096621834577e-02,2.983315820440870028e-02
2.140374525381665283e-01,8.880088938851264935e-01,3.754180889925470138e-02,5.290990225648892209e-02,2.588785627722419713e-01,-1.507960166740453634e+00,1.028931814558100011e-01,-2.488530421941017590e+00,-2.931709398537775679e-01,9.037574963880673495e-02,5.961544958187993126e-01
3.091355249241759529e-01,8.611761342894992399e-01,3.537633075362429935e-02,5.505327484371592278e-02,3.202716536634312439e-01,1.651566242615809088e+00,-5.092212526824827293e-03,1.235009895201647279e+00,-3.617892367323469194e-01,1.100095227688132060e-01,7.405210777854295823e-02
2.237479489691381884e-01,8.483709710767254331e-01,3.673741444860900707e-02,5.299583120305402517e-02,2.784304313859616298e-01,1.636887507606754610e+00,-9.619444594990514408e-02,-6.535818919245445224e-01,-2.819788164167084110e-01,9.183442255796482601e-02,5.818098328635886718e-01
8.396359559540960138e-01,9.155527618077253793e-01,1.161799404800242796e-01,4.271473314064813120e-01,1.415445639754021878e-01,3.151300493931993518e+00,6.306316135207477554e-04,1.556292674813410271e+00,2.161314504261898414e-03,-6.759966761009882086e-02,2.044723130266179467e-01
2.222989276415364979e-01,9.846655966245461133e-01,3.728365219060379016e-02,5.341774480645813256e-02,2.834533781021063570e-01,1.590463631446799475e+00,-1.014682102377727352e-01,-6.512488818959295545e-01,-2.053748055146920881e-01,1.045431515229333919e-01,4.804518686005790351e-01
2.889401508156889120e-01,8.427224910966693017e-01,5.738208646906740179e-02,3.632314239071827988e-02,2.529669045862734666e-01,4.415149795113496034e-03,-2.672842569637116916e-03,-1.097613671208240577e-01,-1.408485451239236894e-02,1.009854317736982449e-01,-3.074270380532784230e-01
7.887704196366728260e-01,2.229344182250532214e-01,3.340060227710623941e-01,5.405041937957624082e-02,3.586225892507202695e-02,1.545682656533359456e+00,-1.483843848309187363e+00,-3.082231388276330364e+00,-1.695035405886419905e-02,1.094222160521277909e-01,-2.309629654400446597e-01
3.722925104348363476e-03,7.629365822684162080e-01,3.464742076719973252e-02,5.101099367386762590e-02,2.238282251297337988e-01,1.531503303566113638e+00,-6.877500519399151746e-02,-2.536109662803629927e+00,1.846095666440371874e-01,1.100130541037370457e-01,4.403954461628755701e-01
2.010686182427294522e-01,9.092247717169525956e-01,5.268947900533160061e-02,3.723901995520245700e-02,2.782760569614438073e-01,7.605079864114475119e-03,5.931359688522039875e-01,1.195080423762905214e-01,2.835124987390906237e-01,9.150446094163947053e-02,5.847333183923038025e-01
2.825351785645267011e-01,8.479010361616063918e-01,3.521029236852108585e-02,5.483355564436379753e-02,3.086019318990432247e-01,1.493464041888948657e+00,5.843552528287701249e-04,1.849314545062051618e+00,3.671935085878824112e-01,1.100435341549482055e-01,7.056794718717006309e-02
2.243572287338406746e-01,9.275797250221975432e-01,5.253610277954594981e-02,3.743826779636066915e-02,2.597288884755052929e-01,4.298672920380269130e-02,5.894274557653372826e-01,1.469213438882279454e-01,2.943287668361905807e-01,8.972056622251615987e-02,6.018204717696399308e-01
3.145031710664319968e-01,8.157033895734552287e-01,3.579029848873520325e-02,5.529049977736334720e-02,2.715876984212587941e-01,1.462667582263216470e+00,2.355170458598252869e-03,1.848149815429166454e+00,4.634905168725348967e-01,1.004177995006681479e-01,4.343105101041992017e-02
1.057371141283366178e+00,1.248681555441787383e+00,1.258439330804353440e-01,8.019845078277378081e-02,1.938554577490235187e-01,4.086466575333198015e-01,1.352641067225114124e+00,5.887768893199887832e-02,-1.780238491286757208e-01,-1.167775635176814542e-01,1.070825644460527415e-01
4.909974744786482770e-01,8.009159071909918159e-01,5.822826615944053791e-02,7.256431906542548660e-02,3.137527194425487886e-01,-8.320165443612713430e-02,4.489411708927072697e-02,7.391926957088415517e-02,6.406217807199409385e-03,-5.269551085466992607e-02,-3.568318219567316874e-01
8.671443046653656284e-01,7.708208029273290185e-01,1.188052075993963064e-01,4.895876733184997831e-01,1.136187382746209201e-01,1.578486988846097505e+00,-9.703321107989174021e-02,1.565077924537382925e+00,2.039079255361810755e-03,-7.661448362408891655e-02,2.613203819100549663e-01
1.061937740379772510e+00,1.999962350209611550e+00,1.622020509031478208e-01,1.025373263718454275e-01,6.256035740245347032e-02,-2.974871586730135853e+00,-1.339956803274521713e+00,1.381143037145281749e+00,-6.253351530450286869e-03,1.169040055403336997e-01,1.855605341014186782e-01
1.016930898899078395e+00,1.585372721793278039e+00,1.364011230701703270e-01,2.588303497320461055e-01,1.018144032055206677e-01,1.539410921985890690e+00,-3.027363896849900871e-02,1.663467990337854197e+00,-1.659744599845021200e-03,-9.863368282548654054e-02,4.838400451175213224e-01
9.779300473678292915e-01,1.194641945846113273e+00,7.808533075716854455e-02,1.253683124935250359e-01,1.913656703855316221e-01,1.221279038219558855e+00,-1.570604347596328207e-02,1.724082842640515922e+00,1.788932173054926800e-01,-1.166371578504536710e-01,1.068318069726330172e-01
9.242435088508195173e-01,1.857705792818504231e-01,1.092307859092660760e-01,8.137085355497503114e-02,7.555421558942684856e-02,1.984982051238917133e+00,-2.506527685731034794e-01,3.094392831953014955e+00,-1.376779821799462566e-01,-1.267293289015024305e-01,1.216267530099150035e-01
1.495499020821641878e+00,8.644247466004792990e-01,8.886289056428946231e-02,4.130380095305399152e-02,7.933913728797928333e-02,-1.725633262337288309e-01,8.508886123737985363e-01,-1.304159562311879572e-01,-8.925076489952417369e-02,-3.703821201328830887e-02,-5.316270002632949021e-01
1.575677380814258788e+00,1.703245794429610216e+00,7.799543983164136662e-02,1.920645017619228567e-01,8.493321396727854244e-02,-4.782752699812790054e-01,4.562690672902901534e-01,-4.496678739880758946e-01,1.429593165098920829e-02,6.658087996712776235e-02,-6.888719330095370852e-01
6.867829832963416870e-01,4.043563167184589524e-01,9.521289561428947223e-02,3.683352630095586971e-02,6.150511951973492569e-02,1.055039756571587856e-01,-2.115057441780405778e-01,-8.253551671947358115e-02,6.714939030033070799e-02,-3.964865080426322602e-02,-5.390301338105154549e-01
1.022037382895204516e+00,1.421129307601239455e+00,7.350466157935117706e-02,8.898431734411721417e-02,6.632100674502014459e-02,2.041880325369737903e-01,-1.709476904750263371e-01,1.203219344143121733e-01,1.366648260460284758e-01,-1.695426067033970474e-01,1.121634535503874125e-01
7.192455565135535966e-01,1.933935284860948789e+00,2.382058572106581507e-01,9.106004542970135007e-02,3.517798545310975300e-02,-1.299216103776571207e-01,-1.075552875254334850e+00,-1.932673523236995372e+00,-1.906710693615794316e-02,-2.534765755548715541e-02,-2.614486272340195150e-01
5.223216968959124573e-01,6.737240314085568560e-01,3.706103446467437501e-02,3.641746667316873853e-02,1.034458020986818161e-01,7.843894065688467032e-01,2.946367889288940833e-02,-1.195051122550007741e-02,-1.902554944376783769e-02,-7.238404466763817546e-02,6.985752756678510478e-01
1.037455192631018042e+00,1.698334583636516903e+00,1.720179533935557170e-01,9.572244241130117848e-02,5.818587923188637406e-02,1.231506594987979986e+00,6.792378454901439877e-01,1.691254585395432386e+00,1.253567413235769090e-02,5.784500474663525210e-02,-6.646624227892539150e-01
1.010227045338731866e+00,1.999999999999994005e+00,1.321088517668097539e-01,1.512063049357307010e-01,5.434897609524447226e-02,-1.632563078757006902e+00,1.354554066015503377e-01,-1.629679374022734439e+00,-2.965527247154362868e-03,-2.899568029265545827e-02,-5.729885832223654551e-01
8.832962807755502244e-01,1.375469041648067714e+00,1.052836947664044370e-01,5.555118100930589442e-01,7.151697024564268590e-02,1.559194341295102371e+00,4.749031763732448831e-04,1.563216045521301112e+00,7.621944343699133028e-04,-5.037752206465524046e-02,-1.166043839014097028e-01
3.172234537359677753e-01,9.714194830663712699e-01,4.639736470064640544e-02,3.658497746808562351e-02,1.281118798309063556e-01,-1.616983890301576743e+00,-1.059171808048255059e+00,5.980791942973009978e-02,4.253523919304896123e-02,1.979066799686571634e-02,-7.161470624888940373e-01
7.454111150326274693e-01,4.947545358768649093e-01,1.053092951147079209e-01,4.227779732498380266e-02,3.463538057681904425e-02,1.562598831008941591e+00,5.185996269647273893e-01,1.587422637825204763e+00,4.300970407103873322e-02,1.734493311909640623e-01,-7.444021015109590911e-01
2.675040202602884665e-01,8.111314046366899788e-01,3.396788934522566861e-02,3.209877732609330014e-02,1.282596428032362901e-01,1.006472355777583011e-01,-1.710191301012617127e-01,-1.434021331480686556e-01,1.144888634616044731e-01,-2.711661225242802814e-02,-4.607383043985400217e-01
3.863110239716114336e-01,1.160622594221692117e+00,4.817199946387772103e-02,3.890110770202141049e-02,1.344488999027652343e-01,4.729236635922486442e+00,-2.076240841962535139e-02,4.033161557521146995e-02,4.569717915071266900e-02,9.351172504697859156e-02,-6.101755395921719671e-01
1.211640049468625691e+00,1.504119329561414142e+00,8.794215327022388007e-02,8.481045038773263323e-02,4.414312547130633257e-01,-2.393913672540522786e+00,-7.036766832730341481e-02,8.909751110516704597e-02,1.598391244181909939e-03,-3.050344043049954892e-02,-2.226153266950626208e-01
5.683050087863068534e-01,9.894436049330178617e-01,6.037778887218599178e-02,1.254780804686429496e-01,1.568537703641407766e-01,-1.266437568002895420e+00,4.836635708734299266e-02,-1.574104660784729104e+00,-1.937499300786268974e-01,-1.301205638295359346e-01,1.036479674074020918e-01
8.877795714958895967e-01,5.253902274348269952e-01,4.849408696774970551e-02,1.822748139585943505e-01,8.238468192692166570e-02,3.066921751236665550e+00,-8.337237891173887583e-02,8.664332227464498493e-01,-1.488930559934963267e-03,2.106731020203662583e-02,-6.341070853057415579e-01
1.583501615254262473e-01,8.796360286483425606e-01,5.206206243389630006e-02,4.493281254716337964e-02,6.953409525880863140e-02,-1.852037466206919003e+00,-1.558648796689443117e+00,5.151947022562756162e-01,-8.568258815724875271e-03,8.842394380061618930e-02,-3.974412629932918412e-02
6.023340756175855626e-01,7.835560324186621184e-01,1.124214641162069317e-01,1.479851517278887307e-01,3.126347652159006119e-01,6.916566718972587055e-03,-3.442945458960891200e-03,-2.706516663067286971e-02,2.077618464135865418e-03,-6.186287403338238539e-02,2.055352395374487051e-01
