eps1,eps2,ax,ay,az,eul_z,eul_y,eul_x,tx,ty,tz
9.068512574725278164e-01,8.523351934011883513e-01,4.020788331378125080e-01,1.165784787930680688e-01,1.540048853016310337e-01,3.473442681648473140e+00,-1.566385634461607168e+00,1.215212531997255985e+00,5.388649946593831661e-03,-5.968168344581574469e-02,2.030785162704062119e-01
9.610218054743980831e-01,1.184263447859512874e+00,5.531494858863413855e-01,7.611862550120447601e-02,9.369540193414946372e-02,1.431911646847124686e+00,-1.591740130572807166e+00,3.282383505182161709e+00,5.148906377879959063e-03,-5.166127901580228055e-02,-1.351700422797663115e-01
9.015204547429608306e-01,1.325325121186016197e+00,8.212707376943900739e-02,1.176045128459733274e-01,1.785154490914287739e-01,-1.236846550554363988e+00,5.388958148978677254e-02,-1.456421984436019335e+00,-1.784197687819620848e-01,-1.159553514202518038e-01,1.141898775278970130e-01
9.761718762018806173e-01,6.305640091966742133e-01,2.791479999120275446e-01,9.806723237643374946e-02,1.226591135267055405e-01,-1.784654534113427449e+00,-1.388538790549986413e+00,2.555561849555023080e-01,1.084544025442102030e-02,-8.368209886198552105e-02,4.524712966811084702e-01
8.481319838879883832e-01,1.134583685126054009e+00,1.166079996704564442e-01,7.755920377871863836e-02,1.811253257551332374e-01,2.818207108907047065e+00,1.392411005169563731e+00,-3.121981201195776379e+00,1.898967238529803425e-01,-1.166019693046716210e-01,1.137477269821957349e-01
6.238266862567319881e-01,6.756940290704230856e-01,5.337972777860460621e-02,3.906788239116948391e-02,3.847434193688929471e-01,2.760972041891671461e-02,4.493674934054445874e-02,-6.410058283331326878e-02,-9.720373476662427445e-03,1.209508779165547054e-01,-1.006302015785140863e-01
1.370866472463646568e+00,1.999999949767090834e+00,1.350502811030988848e-01,2.112738845570722168e-01,1.022082774445806919e-01,1.317965147443586282e+00,-2.047407293845123211e-01,1.812197060640253696e-02,-1.222196413842789459e-01,-1.177133621722455809e-01,1.227389153537133820e-01
7.371198947039545590e-01,8.918703524832678475e-01,4.807481952334935471e-02,6.775507727931938395e-02,1.677350069508984354e-01,1.566730395332844417e+00,5.037633335914595140e-02,1.574789731155842087e+00,5.206435574684096027e-03,-3.517053575241937957e-02,-5.361975556099738416e-01
8.301667772935963363e-01,7.478292880653546471e-01,1.692381828679657141e-01,4.760050719577633982e-02,6.844315808431990222e-02,-1.839136013645501508e-03,-2.708082267063269830e-04,-6.662503451204651594e-02,5.809993089757663383e-03,-3.495089261218534138e-02,-5.362024532244190622e-01
1.083028788956063249e+00,4.193974592337967877e-01,7.287911070121143309e-02,6.000918934996141846e-02,6.526986656042214896e-02,1.019546168060034841e+00,9.822473391888605909e-02,6.894281371605154307e-02,1.500311787222582960e-01,-1.713500659259734049e-01,1.125849773906385104e-01
2.762537721707742366e-01,8.896937590291850162e-01,3.953690582899377359e-02,5.624108420340660774e-02,3.422461754041566939e-01,1.675025383305253301e+00,-2.298149471527964963e-02,1.232176098872132863e+00,-3.841113717069419842e-01,1.092890340422610074e-01,6.592954737059660009e-02
1.034687544238019896e+00,4.369694784054297121e-01,2.317341606046086355e-01,4.235825834335112117e-02,5.462579033054073413e-02,-3.728837947417720788e-02,-7.820190652978500356e-01,1.801444628476219223e-01,5.837888875336191136e-02,1.259230845378689068e-01,2.792028966587299932e-01
1.999999999999956923e+00,5.683729919001886399e-01,7.744370889737196839e-02,6.775895559266278956e-02,2.527173904024064832e-01,1.637183492122756823e+00,-1.029651294215115920e+00,2.811515331700218390e+00,1.932677470124585448e-02,6.799589754203681780e-02,-6.814173896787391049e-01
2.539851703731463295e-01,1.017730534819709654e+00,4.022505404114195410e-02,5.438453261902947977e-02,3.524182123917090070e-01,1.597501479877037500e+00,-1.153184295889045502e-01,-6.486260595489612424e-01,-2.346585460645938259e-01,1.012926084687469919e-01,5.269256222768545772e-01
3.780058646431522784e-01,1.010244710999921969e+00,5.163339734934851294e-02,4.082392060946522100e-02,1.112779619682779803e-01,1.018556747747826341e+00,5.073784061143573471e-02,-5.509989813726062086e-02,4.479723314826922903e-02,9.339681268678788617e-02,-5.868808629971100643e-01
2.450523704580050977e-01,6.489708489848649009e-01,3.894926152138953462e-02,4.526485411292728578e-02,1.288347128757338922e-01,-2.976502300654407414e-03,-2.173257583515776116e-03,-1.063716489596993497e+00,4.929894351515152345e-02,2.519006797710324208e-02,-7.137626411899669066e-01
3.489573975033261610e-01,9.259996919030939466e-01,3.969309321911218547e-02,5.620245660999763360e-02,2.820041928063113379e-01,1.493610763173046196e+00,1.066439145291567941e-02,1.854344608907735337e+00,3.305609371015593712e-01,1.173298175854886605e-01,8.522330323487982418e-02
2.423953721169220255e-01,1.012531859407697521e+00,3.864205723276013110e-02,5.367878190154148910e-02,3.087052972817425633e-01,1.495573030180299856e+00,-8.656833431896708564e-02,5.933443276432189828e-01,2.721945917582901942e-01,9.714216779394642398e-02,5.645940988110568215e-01
