eps1,eps2,ax,ay,az,eul_z,eul_y,eul_x,tx,ty,tz
1.078882268322538307e+00,1.997277150747399421e+00,2.084305889399980516e-01,1.757521726598171019e-01,1.568711105336524636e-01,-6.089400809162572870e-01,-3.376408353648208127e-01,-4.915383873962803074e-01,8.000963992311463727e-03,-4.657025076513601203e-01,1.660757904988241582e-03
5.817963554660732228e-01,2.851094865183894100e-01,4.755559502207071243e-02,1.855623670252116997e-01,3.338376188117157112e-02,-4.524856090601401815e-01,1.201836457691940918e+00,6.110761287388982027e-02,3.674913087671659306e-02,3.989823126220617966e-01,9.528554499738597786e-04
3.265344333528337750e-01,1.459358907129899130e+00,1.950907423060200818e-01,5.624595525275177116e-02,1.006640192082426111e-01,1.173706960219252027e+00,2.763267446822172402e-01,-1.180589304793178973e-01,3.370782917226693154e-02,-3.807855591708707022e-01,1.974214351922517000e-02
7.237183256614199145e-01,3.226689564578715252e-01,9.720036448435138976e-02,4.774195392968134249e-02,2.546034147146755688e-01,1.491880488509239822e+00,-1.235490794157728889e+00,-3.198691848550132999e+00,5.133175458572858396e-02,-3.349162910064565901e-01,7.154484313423985567e-03
8.860416589392076103e-01,9.387391767712224278e-01,9.450395965512620178e-02,1.240932557956278548e-01,4.152647080242359290e-01,1.267337131189030019e+00,1.417664869687091378e-01,1.547668168581556536e+00,-2.621258553138611225e-01,-4.560175540644847425e-01,2.311579183140110520e-05
3.730939271631308896e-01,1.763070162143825836e+00,1.562316361950208954e-01,1.881548807364803177e-01,1.095840536005642657e-01,-3.620131724768935744e-01,-1.310505816305886778e-02,2.594856049093880249e-02,3.865925241761027920e-01,-3.803226748888572928e-01,-7.607729143821419758e-03
3.749554161506591515e-03,5.349446526604537677e-01,5.540263512481163194e-02,1.003876197316787844e-01,1.234798503811734699e-01,2.350072061596125916e+00,-1.148308032548650770e+00,1.613516482631591531e+00,-4.848740657039188884e-01,-2.296763580127298143e-01,9.383690684075166391e-03
8.772451141132471264e-01,4.826302784270837254e-01,1.355734453327830380e-01,4.261005769651211167e-02,7.060640307568527563e-02,9.105530143301091561e-01,-1.235433416639905232e-02,2.137009013776384858e+00,-6.966426161391710004e-01,-5.510738807939875583e-01,-9.222993486795603990e-02
8.347091193601773318e-01,5.578270898901839248e-01,9.743841968829404510e-02,1.394990670096922791e-01,5.098667465982298364e-02,3.937566669971399591e-01,-9.004235136887648316e-01,-3.541504431835098110e+00,-1.507685971887491871e-01,-3.046944945013383421e-01,-2.785836843263905446e-02
5.508637608000988006e-01,1.922142354300637068e+00,1.607338117733672356e-01,1.566735251629481629e-01,4.000387730166309053e-02,2.963381306284877947e-01,-7.989963874191373661e-01,-1.605973843311128579e+00,-1.116947930760077284e-01,-1.023936402064878903e-01,-1.321852003148693382e-02
4.411877378327129853e-03,5.142465445952848491e-01,4.954426983529246209e-02,4.076070306537013521e-02,4.777275270474756197e-01,-7.427758417607583079e-04,-5.150068984545946339e-03,-1.569816777277055708e+00,1.815875525225415787e-01,-1.120934093879243088e-01,-9.736249045051020845e-03
3.147066723370794961e-01,9.475158166237634960e-01,4.572899052575711554e-02,3.879543363551123114e-02,1.383337912338138687e-01,8.486085044551662238e-01,-1.134286232757126367e+00,-2.110301255035990753e+00,3.604926302978176955e-01,-4.978597382868080734e-01,1.100809155920766530e-01
2.868521359035601237e-01,1.129159441354010474e+00,4.734657471630702302e-02,4.064910594490899615e-02,1.554793248364377267e-01,-1.323748163639455022e+00,-1.305109628214471629e+00,2.303810425843373921e-01,3.654140156675542150e-01,-4.736630026799838467e-01,-1.222510115673381553e-01
5.852748079769602985e-01,1.020801286032491317e+00,6.999460172158168680e-02,1.469678803917478238e-01,7.795576706663964739e-02,2.183901335917877162e+00,-2.333592933388472235e-01,3.290113308730668318e-01,5.939997936909227061e-01,-2.323730949766650289e-01,4.730260684286209313e-03
3.012030383840283987e-01,8.599476458901071929e-01,4.516669719524696314e-02,4.947761083015895373e-02,2.577088770987618349e-01,-7.169365631011381801e-01,-5.278785992992898191e-01,-1.551658515035941432e+00,-4.847200283134049381e-01,-2.780580975838339297e-01,7.716790780302504316e-02
7.110638141214302710e-01,1.472063946631418041e+00,1.513683688058568566e-01,1.039730347923018966e-01,7.113355284144047552e-02,-1.739627450951997112e-01,5.458070533858258577e-02,6.779039896619785954e-02,-6.035514677560797070e-01,-3.273123155459085609e-01,-7.115956290869014308e-03
9.862954618767775239e-01,1.296183545182338692e+00,1.251244311066235515e-01,4.945603217617979275e-01,1.479052101817903697e-01,1.471002403125051483e+00,-1.620214980090916024e-01,-3.136471017440714437e+00,-6.125245918657660354e-02,-4.737504179408419946e-01,-1.360191419948976639e-02
