eps1,eps2,ax,ay,az,eul_z,eul_y,eul_x,tx,ty,tz
1.102571938928507578e+00,1.995863164562534431e+00,1.742308195598741560e-01,2.060501670872789959e-01,1.568740271354643057e-01,8.158972380667934843e-01,3.691543269181176146e-01,2.815321513648185281e+00,1.087077688701156009e-02,-4.697545266598311398e-01,1.139205625486925614e-03
4.095370899812036947e-01,1.315286894634995152e+00,3.734618751936707309e-02,3.735960805890307934e-02,2.446513635994723712e-01,2.622748515498229072e+00,-8.130933436220717514e-01,-1.676539091880370203e+00,-1.983696197181526455e-01,-5.471728249197205761e-03,-4.939128958672056591e-02
7.677140530728379653e-02,1.992763504589311729e+00,7.700498573303464489e-02,1.502636461985774885e-01,2.692719234144843460e-02,1.589544570205821739e+00,-4.244959629061974549e-01,1.557126249242808180e+00,1.624240529940469968e-01,8.692038986323325986e-03,1.742144767232419178e-01
1.200473367718521311e+00,3.812186482142395638e-01,2.666052528364665775e-01,3.749470025305951665e-02,3.736184998383599437e-02,1.530144444565721518e+00,4.591228648501534393e-02,1.513733566079677573e+00,2.294663517200559721e-01,1.471223656611547470e-01,-3.366235287710006019e-01
1.998269055458554488e+00,5.854268864794152094e-01,6.418706078328620390e-02,1.380855290439263194e-01,1.555475051797041708e-01,-3.403518378412307421e-01,4.204654196125394428e-02,-9.862148944865438693e-01,5.566014273181044136e-02,-3.430969459901261898e-01,3.915940421925107398e-03
1.942203582146534435e-01,6.154851048098882726e-01,3.859450634023215559e-02,3.430840375903720929e-02,2.653760344150449813e-01,2.139145231577916917e+00,-1.520656607029102547e+00,2.496398280043119033e+00,-2.965660989320760554e-02,-3.227911174374502035e-01,-8.405833406844652467e-02
1.757802741621822484e+00,2.732614055682127535e-02,1.001025001278227633e-01,2.305237589499496698e-01,6.398267036087046389e-02,-6.762888650668549828e-02,6.690006711906378856e-01,-3.514297584693887484e-03,4.499685681150526750e-02,-3.056242546859911369e-01,4.559465891513846125e-02
8.722678412226614331e-01,9.520218687454454765e-01,9.701219676332779873e-02,1.255106367355970642e-01,4.218113403131573680e-01,1.298023836632252737e+00,2.126214870119446654e-01,1.547719747043148963e+00,-2.360173191194294973e-01,-4.620410137049021926e-01,3.163308065906744997e-03
4.017423824689272949e-01,1.777787702592207753e+00,1.602287351921769798e-01,1.893202714174993806e-01,1.086732151773055072e-01,-3.586429066539409405e-01,3.462509222424633992e-02,2.223023543861371229e-02,3.866317134179922399e-01,-3.820445965738663019e-01,-5.920283163917117002e-03
1.268168719169381065e-01,7.804887686431080107e-01,6.044702545944280470e-02,6.100628305909999022e-02,1.802572782107391136e-01,-5.025237908803964482e-01,-1.533498929905292796e+00,-1.635873110432580768e+00,-5.537843555633839010e-01,-2.543953967918284875e-01,-7.092588238643770041e-03
8.887916956153649739e-01,6.679913757575330902e-01,1.978271656485414143e-01,7.435376865286598413e-02,7.826538636178530239e-02,1.794313854073608994e+00,6.266255322713754072e-02,1.576913592464525671e+00,-1.185095229358399116e-01,-3.588504653710560266e-01,-9.041567263569336849e-03
1.179723950248160458e+00,4.276031208637636263e-03,5.225696407993012105e-02,4.843684638457917968e-01,5.418744989576472493e-02,-1.831399972373922531e-03,-3.462676648581908267e-01,4.250406869789356834e-03,1.806319610566367306e-01,-1.173294385592267841e-01,-9.508030615241956987e-03
3.202290396470970912e-01,9.471179927640610563e-01,4.527146106600852399e-02,4.014478513332011417e-02,1.541563927126179678e-01,8.399196423982703275e-01,-1.141122766113589204e+00,-2.106271505516759124e+00,3.542221767220510853e-01,-4.834363573169534467e-01,1.075240011970251958e-01
3.125373428592100322e-01,1.143818538904249227e+00,4.709269440590957423e-02,4.034617577881549622e-02,1.268839659941014830e-01,-1.269471536488889996e+00,-1.293888099758983667e+00,1.933063228134857814e-01,3.764152121332078327e-01,-4.998222007705214187e-01,-1.301422134399243813e-01
3.171181884125032213e-01,1.102849970387494771e+00,6.997594902663595295e-02,6.015967109115972350e-02,2.223878622504387725e-01,2.819510852061891448e+00,-1.396361654673956121e+00,1.865470514053515050e+00,6.537873896346841907e-01,-2.206072316970498215e-01,-8.473117162892809112e-03
3.780437280773173980e-01,4.600417530451773596e-01,1.997761668764556631e-01,1.012101788296740773e-01,5.303587443263985818e-02,1.521293391279011420e+00,1.295920755058226903e-01,1.405794012206504240e+00,-4.115988867792162442e-01,-2.993578176845521077e-01,-1.258177947781548810e-02
7.369857298058665185e-01,1.441503192463892802e+00,1.403201429952263823e-01,1.024894970218229312e-01,7.019870229427253860e-02,-1.544390224291593006e-01,-2.809777256547282831e-02,-4.805573827225519123e-02,-6.139713398520040277e-01,-3.251768564138220463e-01,-2.255020638710795566e-03
5.132353941273353204e-01,2.509156717380388590e-01,1.179327201035458156e-01,1.146079050646673370e-01,4.224088476238483519e-02,-2.866507004601112740e+00,1.779166606640149653e-02,1.598005497912782014e+00,-1.117343832681445687e-01,-1.018035927878548769e-01,-1.333177407243442414e-02
1.241425222830351560e-01,6.206383583524263114e-01,3.767615672585111763e-01,3.861132760622851962e-02,3.951903688139679627e-02,-3.126491239050215754e+00,-1.498090324215420210e+00,1.561610987752010349e+00,2.046288579505994298e-01,4.342504947999742404e-01,-2.274151728449610999e-02
5.362824343900497448e-01,1.407479232353154419e+00,9.598374378443803867e-02,8.242750163404412300e-02,8.374465164242053672e-02,6.966143269291298346e-01,3.733044688697661345e-02,-3.010608096498854080e-01,8.653983324251771081e-02,-1.694803672034719266e-01,2.108544197833512462e-02
7.544196448886790751e-01,1.036612721323543873e+00,1.176615300201734049e-01,1.403303861472006975e-01,3.710849754037499060e-01,-1.394441257080250463e+00,-4.940279429505450848e-02,-1.573595437859863333e+00,1.854531916671076641e-01,-4.694296345508428558e-01,-7.272932872381124118e-03
2.085955483863335680e-01,9.313773964514260317e-01,4.733301902897515956e-02,4.665084553906150011e-02,2.803951544945155194e-01,1.495564454425380996e+00,-5.296215668232975848e-02,-1.892080269706753193e-01,1.658168331462839262e-01,-1.007479677714479827e-01,1.652134757596298853e-01
3.118855976248681716e-01,1.100271302352512803e+00,4.832921753547519961e-02,5.057695565931908527e-02,2.000287952374392719e-01,-1.965216930218085800e-01,-1.557421174099386796e-01,7.761408867921028298e-02,2.397745385493162684e-01,-8.178859513696651318e-02,-2.244519904723741022e-01
5.538527689464621817e-01,8.423922733352434689e-01,6.240739647083479863e-02,2.471890126320171743e-01,1.061938751347024923e-01,-6.373015179354776238e-01,3.625074127077813207e-02,1.934357218216366942e-02,4.885414681987101382e-01,-3.479392136435859872e-01,-4.433351435958442395e-03
3.065319219836311615e-01,8.580664852217630978e-01,5.941719396992264229e-02,5.529237194877274081e-02,1.405881493417357186e-01,-9.624207292585980345e-02,-8.793498648019199004e-01,-1.455365386909204917e+00,7.739143481677911440e-01,-2.377726177482820946e-01,-2.109700320664183951e-03
2.889207870254065780e-01,1.116175995940257293e+00,5.027530867303973972e-02,4.832338993168301677e-02,3.162987124278873186e-01,-7.505935007439085149e-01,-1.338025670871981099e+00,-1.519440473499224398e+00,-5.965054084896044273e-01,-4.059041359743760236e-01,7.941418462343935447e-02
9.664102283206909005e-01,5.418331538500344990e-01,1.290117470222799378e-01,4.460992150951741120e-02,7.304345541972637190e-02,9.142577220556983297e-01,-1.952848573072056906e-02,2.109792272538443925e+00,-7.019171932928922608e-01,-5.562604248973325172e-01,-9.251610063490968427e-02
5.940978078868585088e-01,7.330226330498172960e-01,6.353420763391419424e-02,1.508717953094531605e-01,6.431172307056375048e-02,-3.152019583052764418e+00,-3.091041198794049372e+00,1.207585101854055654e-01,-4.123082499447218163e-01,-1.682848590497382224e-01,-4.308517707009053288e-03
3.768311274374522291e-01,1.229298672204156562e+00,7.816503827911630564e-02,1.637893901081281522e-01,4.304383088082693737e-02,-3.518998530304919381e+00,1.588558702576684314e-02,8.178783458830059250e-02,-3.747073843660158610e-01,-1.880984801918777483e-01,-7.991422979747130062e-02
1.128415827651046754e+00,2.769878122181026470e-01,1.996238321737290877e-01,5.125761601414428187e-02,1.009503818239752965e-01,1.435249796969048308e+00,-2.677087599779318650e-01,4.682711456504138892e-01,-1.660377904036944852e-01,-3.598257254941043537e-01,-4.254771089394966677e-02
8.872806458932165630e-02,9.059103029847936916e-01,4.275707139245575605e-02,3.828465332152978379e-02,1.735939329535669817e-01,-3.253620212199583417e+00,-7.222305576350951384e-01,1.659483473219903527e+00,-1.948058155871036090e-01,-2.555867535887517139e-01,6.073482029839638585e-02
7.932175994334856872e-01,4.813159912765010984e-01,5.259646736612533929e-02,8.826463595473997559e-02,9.096169606477641500e-02,-2.382796847587477451e+00,-1.523624702084212856e+00,5.999412919080669981e-01,4.624896224895460456e-02,-1.658282180038695708e-01,-7.517794149385738367e-02
5.624787351840883076e-01,1.440778012004025221e+00,6.989098032956821138e-02,1.142512854235617770e-01,3.793199513738671619e-02,-5.938077190618229473e-01,8.305733321774240105e-03,5.781737225956135040e-02,1.553860644898481524e-01,5.583918792324525926e-01,4.479530635660716568e-03
1.685220529201458373e+00,3.269635331213087137e-01,5.039928312601548582e-02,3.069399806247018470e-01,9.498017214952432508e-02,-1.888737801215591150e-02,-1.262690032553037689e-01,1.125641544586420892e-02,1.828533300902708825e-01,3.139554788765288595e-01,-4.743000208087158978e-04
1.130886982008829644e+00,1.231634075630433811e+00,1.355274063945236251e-01,5.421134799830834572e-01,1.219295593478582074e-01,2.357055597884175402e+00,-1.548680778686347237e+00,2.561727382425062149e+00,2.753528333932994121e-01,-4.503653408114271506e-01,-9.333856178368529766e-03
1.102354855293318003e+00,7.292776064893645716e-01,4.103765263508083461e-01,8.188991969024779494e-02,1.020765313498545046e-01,3.277818027581871907e-01,1.710524226668595077e-02,-1.276800041666658614e-01,4.543368835248047244e-01,-4.384230572913270230e-01,-3.385592068383062436e-03
