eps1,eps2,ax,ay,az,eul_z,eul_y,eul_x,tx,ty,tz
9.086227979389527309e-01,1.136478710266251246e+00,1.056417006310572254e-01,2.453796976152893272e-01,2.188946048292190194e-01,1.589734616486575991e+00,2.430442532164600877e-01,2.482552768401614873e+00,-2.419107964639670427e-02,-1.673947290989447056e-01,-2.781043786191081391e-02
1.367000810235174502e+00,1.999998901333538859e+00,1.717888061797862298e-01,4.390029396280455964e-01,1.671759904194556057e-01,2.299395730062490983e+00,5.833273516863685115e-02,9.419181881355945807e-01,-1.548737954383161246e-02,-1.152138191660622146e-01,-1.901960881850956950e-02
1.083901859138884261e+00,1.096802021080011347e+00,2.585306081496600017e-01,9.332436060525912958e-02,3.170800163423929119e-01,1.606607316800653662e-01,1.027446964464976187e+00,-1.419287795019589897e-02,-8.702127763761102752e-02,-1.814581795917950269e-01,-5.503474192606758186e-03
6.359270547189359579e-01,1.121561159521747175e+00,1.969633243276729118e-01,1.017262678917823099e-01,2.393167143934396557e-01,-4.767994406740709845e-01,6.452010686326198341e-01,3.647197270921084256e-01,7.803379342131823437e-02,-1.173371160535078284e-01,-1.768797392825386672e-01
1.241213986850282280e+00,6.644186248245778081e-01,1.979314133258772979e-01,7.677133423221763064e-02,1.048765155936724897e-01,-3.454931841426458483e-01,4.733929714264615285e-01,-9.334718757310113413e-02,-5.381183842035192066e-01,-1.287745760630415182e-01,-1.977810471888644672e-01
8.222048571926394711e-01,7.986317361915304947e-01,9.751498604907980761e-02,9.027200395417100953e-02,2.013184615892570084e-01,6.272716955063213362e-01,-6.148175308747960699e-01,-5.578886586971255612e-01,-3.996115882165370281e-01,-2.299659729413560394e-01,1.460486735235414224e-01
6.768820524100142011e-01,9.628461989510975760e-01,7.995028396625300515e-02,8.764660389894625425e-02,2.387556642456674094e-01,1.656548994318203238e+00,-1.469446977638451113e-01,-3.938040995822865709e-01,-3.109348458293452744e-01,-2.295731104275691437e-01,3.681632521570105121e-01
8.294037762553413407e-01,1.068875522928971922e+00,2.204764416192813437e-01,7.702056444384972056e-02,9.241045323771050757e-02,1.192074678013798905e-01,-4.759666280069591027e-01,-9.843897115520959806e-01,-2.646802072621505242e-01,-2.228104708195334516e-01,-4.112657630523238184e-01
9.992338025236748855e-01,7.245072057164335666e-01,4.958885850196328299e-02,1.459205598313947083e-01,4.954214614380691994e-02,5.547856951335961018e-01,1.109964131792185338e+00,4.183743668287316919e-01,-5.594420095060146370e-01,-9.845475562634549427e-03,-1.149418107397057603e-01
9.487978749591875482e-01,4.753847309355111461e-01,1.062727861804833585e-01,6.431236712348430140e-02,6.765361580801723673e-02,2.691693666675893937e+00,-4.378697284310682503e-01,2.250296450710862040e+00,-6.041911486509605744e-01,-1.792267280238702409e-01,-6.000289162822817352e-02
