eps1,eps2,ax,ay,az,eul_z,eul_y,eul_x,tx,ty,tz
6.530543468474105939e-01,9.814610396925331770e-01,9.055438835828347188e-02,2.803522165076479111e-01,2.269146466670218520e-01,1.584802278855915514e+00,1.152301668895929637e-01,1.652357776303717385e+00,-2.413040814229186135e-02,-1.821237546465852286e-01,-3.484546111776998939e-02
1.222172761102835681e+00,1.524017150998554060e+00,3.184501401512493390e-01,1.955347894829887190e-01,1.066575655014131430e-01,-2.526993988017973258e+00,-2.997235517708106145e-01,1.641849819059269633e+00,-1.016245999191341537e-01,-1.516886993940062545e-01,7.239409696894419377e-03
1.196387763389410663e+00,5.479339413054638008e-01,1.404918552306242963e-01,2.934158374938240499e-01,1.659073145579854636e-01,3.234407885827438545e+00,3.929168991046078085e-01,9.372546038233654508e-01,-7.446373299439553069e-03,-5.216631472703361222e-02,-6.500740100254973064e-02
1.086268619895815579e+00,6.552086785983939343e-01,1.582599770535422778e-01,2.217192291422116213e-01,1.434499690195389643e-01,8.300579418148246180e-01,-1.114798021038961418e+00,-1.349466161474432990e+00,7.662786470704383013e-02,-1.088917472185998853e-01,-2.166757169431063612e-01
1.720394257315877251e+00,9.818944272090945891e-01,3.536764895371051765e-01,9.697575444429762381e-02,2.318820653566985024e-01,6.110688266077787256e-01,8.190914926575868504e-01,3.858280484141388689e-01,-8.134160131646905878e-02,-1.498532727661930908e-01,7.433088013671645955e-02
1.068297406289055340e+00,1.008060069494837396e+00,1.704501002729487402e-01,2.187912677718641397e-01,1.697365074175726518e-01,8.421102941504381156e-02,-6.144893450202788543e-01,-2.249730501739175548e+00,6.204726356376909224e-02,-2.028232648460205623e-02,-2.160254685553688880e-01
9.595988669605679533e-01,9.423911182313751134e-01,1.904586389780057176e-01,9.702719043460737713e-02,8.269666592204671929e-02,-3.493522639544025532e-01,-3.115060764200977550e-01,-9.818602457445586573e-01,-3.839335288190172668e-01,-1.932824350433786642e-01,-2.080706539290664292e-01
6.516160262639745238e-01,1.088251208542878601e+00,8.373842798539356258e-02,8.413885792208715408e-02,2.386218294285944730e-01,7.872292280115096297e-01,-3.635387358392112023e-01,-1.333996203016175053e-01,-3.256207725258360997e-01,-2.358897737617894064e-01,3.764341476948964149e-01
6.768350423702207408e-01,9.757536508469041303e-01,9.591659381514269778e-02,8.428757775118252138e-02,2.740974242141416273e-01,1.489491905090528201e+00,-1.439274574310864252e-01,1.679282347921543517e+00,3.398390252537894507e-01,-2.330184485718817256e-01,7.659435387350133073e-02
8.907334447087457141e-01,1.101433744101451451e+00,1.796716125966492106e-01,9.681040505769700211e-02,7.044220267352530040e-02,2.792865785651733379e+00,-7.093752566884886646e-01,1.834055565033964941e+00,-5.825922421345177682e-01,-1.184812135330652882e-01,-1.792607145953588332e-01
8.359735233873710758e-01,1.014048281973466858e+00,2.369670384175956435e-01,7.683035106751147369e-02,8.502632921722361181e-02,7.995668278346883262e-02,-2.651574844888398563e-01,-1.148376647619512969e+00,-3.249314043396700491e-01,-2.363255663779677551e-01,-4.323414183645273856e-01
1.071435051873437905e+00,6.123719007268649817e-01,9.332445595708814545e-02,2.257388140323882408e-01,1.013031405094958898e-01,-1.143156526258009675e+00,-5.708718409241964054e-01,-8.159654092308593620e-01,-3.791002654474841527e-01,-2.382335508307528993e-01,1.206514200191480951e-01
1.152037064647234654e+00,5.857086914892311036e-01,1.660391908835419650e-01,6.554020364318619007e-02,6.972687533073489152e-02,2.011264023390963163e-01,-7.282687740862027470e-02,-1.707736559758859241e-01,-2.280073777125186385e-01,-1.943341026703265806e-01,6.634608932403980308e-01
1.043523904940260705e+00,6.784817397671678574e-01,3.215506406680396223e-01,8.487824707487016951e-02,9.582802914804398886e-02,5.684350227325620786e-01,-1.707010253026560509e+00,-5.079669590559872105e-01,4.791308130418277939e-02,-2.418271258695895154e-01,3.352753684319282890e-01
6.946289043920351736e-01,1.161375554184022718e+00,2.212555374238417971e-01,9.351570247223237042e-02,8.288926151896762462e-02,-8.977640441723414022e-02,8.360411291562397373e-02,1.150276875320668468e+00,3.251992007711977939e-01,-2.461251775440443379e-01,-2.019189906396975098e-01
1.103652691991746870e+00,5.919330012200000324e-01,6.793320115816481319e-02,1.519459479277041059e-01,7.924795798583229856e-02,1.279140714536722179e+00,-2.935575492538132839e-02,2.098207159961535950e+00,6.793830436410652762e-01,-2.563485125912361440e-01,1.726608891481140329e-01
1.387064826005692586e+00,6.588782036380390617e-01,1.119106040885024383e-01,4.525891049020799167e-02,5.159353735055467044e-02,2.266193077988388538e+00,-9.020288578057959750e-02,1.359118150592243390e+00,-5.936303404370576464e-01,5.965605800670824299e-02,-1.005290138318476884e-01
