eps1,eps2,ax,ay,az,eul_z,eul_y,eul_x,tx,ty,tz
1.151212618020709622e+00,5.638268986163025298e-01,8.211372696157213935e-02,2.980525694200582554e-01,9.490635065754120248e-02,-4.285385926256634059e-01,-1.087933209232955570e-02,-2.537461296089639773e-01,7.151118462797304010e-02,-4.969866709152768736e-01,1.223836571153560926e-01
6.256224117535613694e-01,8.880646666319966798e-01,8.048465340253861677e-02,7.510203586684094379e-02,2.186991413391562722e-01,2.909727903803612126e+00,-1.276885765734616651e+00,1.501264060706901882e+00,-1.134760618726742137e-01,-3.480504949153285232e-01,-1.092478323604496697e-02
2.373338451224357021e-02,1.989746761092658911e+00,1.551697376792428862e-01,3.197238752662391326e-01,4.543756773397419346e-01,-1.531068835630025937e+00,-4.460103363708014523e-01,1.478169760564923108e+00,1.939182374274593483e-04,-6.171912001400859937e-01,8.739690368402117104e-02
4.508379901097471221e-01,1.029841407503614192e+00,8.071723353886016417e-02,7.622590164941116242e-02,2.113393358533459387e-01,1.089977769510088956e+00,-1.075800592893618290e+00,3.150764956329003663e+00,1.410890858010994120e-01,-3.467686323484243660e-01,6.614451643436150552e-02
1.190236945113132716e+00,7.495935650072431677e-01,2.229008445164584185e-01,1.596417477819152275e-01,1.775522958902374382e-01,-7.635200136824538131e-01,-3.966806165465345035e+00,2.501693301058791619e+00,1.294984776692956197e-01,-5.815334930088877918e-01,1.781643170512136609e-01
9.800236285356530574e-01,1.203976476396466655e+00,3.200461156898163906e-01,1.161845130317593899e-01,1.001444240581148143e-01,1.870534899743208523e+00,-3.563269331108431803e-01,6.355676016995402966e-01,-1.423581131067346017e-01,-1.093162536260752632e-01,4.928655728111973333e-02
1.725356078149989925e-01,2.055785949804877777e-01,1.398158946763681243e-01,1.777244726934122943e-01,5.183999490554884737e-01,1.568018092047924750e+00,1.266973256209356045e-03,1.542946098263233257e+00,1.625478918654577054e-01,-6.178138064542556540e-01,1.801909244887754669e-01
4.295271579492186409e-01,1.429855075092905548e+00,1.138973026594839594e-01,1.671223768285994837e-01,1.559261167930379444e-01,-1.097627562844127880e+00,-1.086304718539034264e-01,1.824686423368896415e-01,-6.641607898441942437e-01,-6.512721467592850200e-01,1.835761558256431281e-01
1.358199643427818515e+00,8.537505551494969369e-01,2.998113135221598946e-01,1.824459484221011563e-01,1.279550357333341104e-01,-3.040355894431905792e+00,-8.648482942331344736e-01,2.031003034199242219e+00,-5.924692014415960939e-01,-6.369481460969798059e-01,8.765263704536588318e-02
1.169066417665506119e+00,6.204873550559640849e-01,1.415427761656388450e-01,1.838392284330440940e-01,1.045718329518875722e-01,6.694488575044199585e-01,-2.149826525878375527e-01,1.366831185440027463e+00,-6.809912137005504906e-01,-6.518292271658225889e-01,1.662365450230731956e-01
1.745795262405791748e+00,1.816837726778675943e+00,2.609772897424187388e-01,1.750209849207489676e-01,3.212702284345873016e-01,5.460850883989546434e-01,3.641419843052992045e-01,2.937846404965016589e+00,-5.552431431220838931e-01,-6.154520253830625398e-01,1.034621734433251311e-01
1.342369828213796579e+00,3.142783865268276577e-01,3.207492373962415599e-01,1.098023481467234608e-01,2.282361965364836098e-01,1.474378854825569678e-02,7.719215759582449543e-01,-2.931565512786136196e-01,-5.402577824273085971e-01,-6.477799315800162328e-01,9.081055382046433755e-02
1.564906238822185991e-01,1.859269169731451843e+00,1.670760959093615661e-01,1.343477781166698692e-01,3.184042373501799750e-01,7.108278547380342260e-01,-3.365765391534514817e-01,-2.712646505902663319e-01,-5.748440872182773997e-01,-6.478149497719664085e-01,2.509885676597844312e-02
1.116875437020016459e+00,5.406478036107923435e-01,1.728569490349948501e-01,4.249760081189871835e-02,5.664640858898297576e-02,-5.383729191178886486e-01,6.969817997080336447e-01,-1.531438243089067841e+00,-5.497681743071552996e-01,-5.160359428947803445e-02,5.166300409330354740e-03
6.159403513618754156e-01,6.727471131252497072e-01,4.081329181205072265e-01,1.148334993363919199e-01,2.386815646470367147e-01,2.241137336793463941e-02,-7.230557100865152298e-02,3.915215707156224217e-02,-2.455612326674403711e-01,-5.852510495727590856e-01,2.150667248249469310e-01
1.999999999999999778e+00,4.382727228656693730e-01,8.873239634177490509e-02,6.466785329625097944e-02,1.595214464064434734e-01,-1.852843814935748679e+00,1.144135447880851864e+00,-2.048877156150776813e+00,-4.523332032384193568e-01,-7.453110072742347159e-02,-3.192252422375565363e-02
6.881598092721925852e-02,3.543328789290455805e-01,3.889720316844563208e-01,3.141304520712793202e-01,9.930849312609221768e-02,-2.298085153523005131e-04,-1.152755766857112285e-01,-1.570290138160859161e+00,-2.628334368588290393e-01,-6.570326362579637092e-01,3.876525562688832444e-02
6.317421053291309985e-01,1.473516755215103169e+00,2.360894424505148304e-01,3.715426110624833189e-01,1.143302369220965814e-01,-2.977273525277971178e+00,-1.008242626911769912e+00,1.379151405983902734e+00,-3.745994558980936806e-01,-5.831952316334831909e-01,2.172387237648018277e-01
3.136668821201807345e-02,6.555041224189430693e-01,2.277873515041506369e-01,7.339616242393841583e-01,5.013874147392945180e-02,-2.909621967213427585e+00,-1.573229696252953724e+00,1.338734176757038874e+00,-4.976093795193368280e-02,-7.070537825481357785e-01,1.287200952353139416e-01
1.016789784927949469e+00,1.837510020413077871e+00,1.020870673145604784e-01,1.055382823173620505e-01,4.847098307423693825e-02,8.926971375635276429e-01,9.693353112423663820e-01,1.790570312022162547e+00,-4.377387052018146818e-01,-4.461453021414214792e-02,1.135682686556904325e-01
