eps1,eps2,ax,ay,az,eul_z,eul_y,eul_x,tx,ty,tz
8.751311779872812391e-01,6.050953543864635575e-01,1.671034385337752393e-01,1.906180493473346171e-01,1.168992361656326084e-01,1.098409862957135497e+00,-3.461823016527347807e-01,-8.504775450796348002e-01,1.112116880716770562e-01,-5.636509580341082515e-01,1.556438589814068962e-01
1.224683113806884993e+00,3.243647024525259659e-01,7.946683073515990736e-02,2.493061164513108718e-01,8.681304732446162853e-02,-2.947655978379900010e-01,-8.191136089579734714e-01,1.405493634837568818e-02,-1.118236199453248730e-01,-3.395581839648231792e-01,-8.872970161945357287e-03
1.014069636902185989e+00,5.371444979042726553e-01,7.605200474511358832e-02,3.222622121835367337e-01,8.058584310855360089e-02,-7.411570730036874943e-01,4.716255946886749317e-01,-4.967372549806348681e-01,1.486257357664170220e-01,-3.307865639866681695e-01,6.376083387076102171e-02
2.891997391736444989e-01,1.305620277639147675e+00,3.528707816054091895e-01,1.433398739130989363e-01,5.042133792970767692e-01,1.370178913147458877e+00,-1.311173066150508326e+00,-1.362503823908720602e+00,-3.439371576792944751e-02,-6.062878173130639148e-01,8.923448876198006308e-02
1.999994763060458425e+00,9.122663652403513179e-01,1.934594322235722585e-01,1.170010118962598739e-01,1.887720320003092589e-01,1.450657344588893727e+00,-5.231093404596856011e-01,1.401236162322843981e+00,-1.277536478098330042e-01,-1.200063118127090850e-01,4.708044101718729391e-02
1.109330984017416366e+00,1.809660574035655500e+00,1.007347123691037655e-01,2.007026742448990153e-01,1.512874952913374482e-01,-2.072771644057882945e+00,-2.912652319336388462e-01,1.711800973548641136e-01,-1.262543100094758730e-01,-8.481669918297016220e-02,6.555259384325475003e-02
8.104398621043659157e-01,1.993760629863672307e+00,1.651985268294468567e-01,3.154914189954977077e-01,1.057313429459942888e-01,-4.865535232325288728e-01,2.522859521759765467e-01,5.381781806923142258e-02,3.142125688263898708e-01,-5.001210473511404075e-02,2.131058472229632392e-02
1.103364521080752780e+00,1.640876248915872360e+00,2.023968397107568373e-01,1.842072108436846323e-01,9.644052128037108873e-02,-3.046670096500986302e-01,4.851333586870917314e-01,-2.866115291060935544e-01,2.873408532821533079e-01,-6.781271760579321572e-02,1.937673074449478353e-02
1.169516205269566900e+00,8.787428067751145155e-01,1.845179974788536126e-01,5.608801986916650550e-02,1.662591067008589163e-01,-7.645145886828048631e-01,1.342603101052794456e-01,2.368973781836523906e-01,-1.209247632478326756e-01,-4.300490263998566626e-02,1.413221625367999112e-01
1.202080985383710887e+00,1.806408677485393355e+00,1.431954453353077028e-01,1.574716745379389771e-01,8.280627699301768008e-02,-3.291676183596224381e-01,-3.313791321128402578e-01,-9.315081294649592003e-01,2.164923322824744423e-01,-2.778785329789055375e-02,4.372783193166892429e-02
