eps1,eps2,ax,ay,az,eul_z,eul_y,eul_x,tx,ty,tz
4.347935592669942978e-02,3.312784548437560511e-02,3.989146227528897470e-01,8.255583103316778137e-01,5.961949193080389592e-02,-3.093949359199874571e-01,-1.570836023494253553e+00,-1.261398491799798460e+00,9.962455749519368714e-03,2.524045327809823491e-01,9.764372294062987831e-03
3.463894289710766627e-01,5.090380655510993169e-01,2.130091367663654311e-01,6.496128763371410153e-02,1.859495151738466967e-01,-3.024020004620480741e-03,-7.437380454228443866e-04,-4.096791535750659435e-02,-4.342364072463475999e-01,4.467284961728532067e-02,-3.301387273475642758e-01
3.276329685317673768e-01,5.689122001066199141e-01,2.155259461332833804e-01,6.486075299986461540e-02,1.857445067533962935e-01,-1.182350976141302752e-02,-9.968047073134753740e-04,-4.293697211131906888e-02,1.111393642052902440e-02,4.471296088617095210e-02,-3.304023841992167476e-01
3.274997926192865783e-01,5.686616020179321440e-01,2.154909721746667284e-01,6.486034612945712485e-02,1.857456215753178763e-01,-1.185200010967666674e-02,9.868774903393304904e-04,4.295580772913849127e-02,1.111159755870026224e-02,4.471207393185169104e-02,3.506086750092761717e-01
4.637274496368737897e-01,2.411461989451275656e-01,1.862671432370625046e-01,2.104839325736143629e-01,6.569404766247323446e-02,1.534487283066430452e+00,-1.528153096305144842e+00,3.177986711494442673e+00,4.491633032362983280e-01,4.448696015452761193e-02,-3.303406657831075566e-01
3.497025679796512687e-01,5.068572118832048723e-01,2.128324151461289948e-01,6.499194407895172998e-02,1.860023022095160794e-01,-3.080717920664516590e-03,4.747100089352467890e-04,4.091889471904497366e-02,-4.342309411394827401e-01,4.467804050308062797e-02,3.503158574218716015e-01
2.377211927038646311e-01,8.309272425207205881e-01,4.715446314918963350e-02,4.610259612797658335e-02,3.034226166792410861e-01,-1.701002298214475461e+00,-1.190850142485942786e+00,1.198427545729158633e-01,-6.007473081511630619e-01,-1.538851495982259190e-02,-4.837211615816508492e-01
6.389714368489063379e-01,1.087946084362460430e+00,5.569554411283703793e-02,1.746886660641103206e-01,1.163410515334713652e-01,1.556057063327348056e+00,-1.346244188892762761e+00,-3.120480471472960371e+00,-4.356221121946244890e-01,2.122520321379744168e-01,-5.206439379520926281e-01
2.710974364600910458e-01,1.025825807838126158e+00,5.032668742131714973e-02,4.806771193812512527e-02,3.035704606866765909e-01,-1.434104000961205772e-01,-3.445520108788570068e-01,-1.170747339606748261e+00,-2.651664166720713589e-01,-1.556137251752753858e-02,-4.840310615292240937e-01
2.739710333851865798e-01,9.129924390372451404e-01,4.442530355551916471e-02,4.760815096579314176e-02,1.983855792867358081e-01,2.680883288625685701e+00,-1.521778580359484323e+00,2.013658791487681121e+00,-2.640465897104791737e-01,-9.880084035168196221e-02,-1.916237872731010594e-01
2.351409409851631660e-01,1.005362958053742206e+00,4.794045436880163547e-02,4.989944684210485815e-02,3.042015195208994660e-01,-1.477205981693007431e+00,-1.191301610278025169e+00,-8.733482978182821599e-02,-1.604629952527423520e-01,-1.430174134078945891e-02,-4.828340840517025834e-01
1.343466384363816712e-01,6.992561402432910800e-01,4.684878214402585922e-02,4.102566320033170649e-02,1.971375209423111841e-01,4.670815288966201698e-03,-2.114904363551892933e-03,-1.578155647822484742e+00,-1.613704903071456476e-01,-9.797422106432943090e-02,-1.916359654410505764e-01
1.342659004834244330e-01,6.991960056635599940e-01,4.102748243072946999e-02,4.685331686275574087e-02,1.971574772120605890e-01,-1.307077824930218846e+00,-1.563149420494922337e+00,-2.590885690463574642e-01,-1.613672211301305781e-01,-9.794877363336618181e-02,2.118414908658411422e-01
2.631630964317576704e-01,9.299448606737154011e-01,4.681243464578511981e-02,4.952663969033718055e-02,3.091787362053743937e-01,1.785457452296370873e+00,-1.187807308931329686e+00,2.943941510093690095e+00,-1.605026599016787514e-01,-1.060873976060413594e-02,5.021300769048989698e-01
6.625001377537492742e-01,1.145006543682818512e+00,5.616511274347700533e-02,1.785738572544910696e-01,1.167131848046651793e-01,1.452994926246311325e+00,-1.343211714088751618e+00,-3.018584625998369297e+00,6.507863629479373156e-04,2.120302836848630967e-01,-5.207103384935730661e-01
6.625521155745338620e-01,1.144544529455623794e+00,5.616664115174813815e-02,1.785310612881501613e-01,1.167079384789750235e-01,-1.688368266994698885e+00,-1.343226865934725955e+00,1.230224829859226238e-01,6.368906069080322759e-04,2.120170328850747854e-01,5.409082259343284127e-01
3.584636538620299961e-01,1.072631886418235814e+00,4.778383737822937405e-02,4.886774382606267481e-02,2.552397730361139483e-01,-1.434612351267619657e+00,-1.184090706109670377e+00,-1.508365514438212984e-01,1.791174402294592460e-01,-6.433099093022570658e-02,-5.023036650167828077e-01
2.660999704298410706e-01,8.271851480790982647e-01,4.267620866169870991e-02,4.562733450842656330e-02,1.983647892882455799e-01,3.301206510471694222e-01,-1.538756021691307652e+00,4.339109916456248328e+00,1.795640203699330195e-01,-1.001325627408161389e-01,-1.915433569907253053e-01
2.687070937834149520e-01,8.337025280414540607e-01,4.568318619677219639e-02,4.262758949153955951e-02,1.984087166149919035e-01,-4.407913155195687660e-02,-6.318583800495077007e-02,-1.559272908219949905e+00,1.795412478407074075e-01,-1.000949531577821627e-01,2.117817036758734839e-01
3.624196518911884657e-01,1.135144199172455570e+00,4.805016253035285234e-02,4.972996261237474375e-02,2.690202676244706770e-01,1.859634033502484574e+00,-1.171446706881495547e+00,-3.428993078170150977e+00,1.791493877543010593e-01,-5.205103673898788669e-02,5.175419044708586824e-01
2.357435157891731858e-01,9.281946395737803446e-01,4.747959393589747806e-02,4.979726187433404505e-02,3.042227276407227787e-01,-1.459774718506910762e+00,-1.188690939147217573e+00,-1.043034707878327111e-01,2.820149183479124244e-01,-1.347899536609180847e-02,-4.826442442477676398e-01
1.479587284237313394e-01,6.859657067343101211e-01,4.090773181437285660e-02,4.676081693402867057e-02,1.973524094864817502e-01,2.329171634636379551e+00,-1.562082284676625132e+00,2.388492228130957962e+00,2.814237410669429007e-01,-9.824562513740912884e-02,-1.915563628348699032e-01
3.341416206458909244e-01,4.636363698717063109e-01,2.122654584861290994e-01,6.447325201760813196e-02,1.858303522553824416e-01,-2.394278112476344329e-03,-9.696649146369895915e-04,4.221013449173646737e-02,4.494143569133899896e-01,4.461529343197814801e-02,3.505320980837330347e-01
5.969865179644118225e-01,1.065022020900443289e+00,5.542130213951690365e-02,1.689581103105899373e-01,1.153494131364336817e-01,1.477359453565439740e+00,-1.346926464672416168e+00,-3.049294135494556635e+00,4.428817592897459909e-01,2.121752851846405719e-01,-5.210120386430018291e-01
1.571746179698482182e-01,4.725061956252342155e-01,4.386788959919666470e-02,4.099677281421001268e-02,3.034260675780757754e-01,-1.571031052126369287e+00,-1.190092708084342421e+00,5.440862165709990303e-04,6.157011694818316228e-01,-1.532392309278070817e-02,-4.831473172787191794e-01
3.526909476292158091e-02,5.060138886180032269e-01,7.945652870720831817e-02,4.778851590122851212e-02,3.483753140441849250e-01,-5.180881483553921975e-04,-1.137608431295805956e-05,5.218860377503642601e-05,-6.975833215395298437e-01,-2.623541682148984866e-01,1.022311333621515536e-02
2.598327078267152479e-01,8.541926769262557784e-01,4.713636477419706761e-02,4.641156681283755553e-02,3.089182109047797775e-01,1.576959122361900834e+00,-1.192599985800981255e+00,-3.146926372898551261e+00,-6.010956784777783390e-01,-1.162436522421386037e-02,5.022854274996247925e-01
6.460067132458164885e-01,1.064598350711889907e+00,5.557779944170079117e-02,1.712571424188299163e-01,1.160907588334655349e-01,-1.891893004769277242e+00,-1.337366096782800051e+00,3.117228600797815052e-01,-4.514126178530817324e-01,2.119408725024334306e-01,5.406243206187065775e-01
