eps1,eps2,ax,ay,az,eul_z,eul_y,eul_x,tx,ty,tz
5.908526617081594212e-02,3.766659719796003336e-02,8.267590656057195453e-01,5.997543157724932739e-02,4.046408788159058245e-01,-9.570964647972220722e-06,-5.758942034766699334e-05,2.757491969946640559e-05,1.010629749818577235e-02,2.529059919214577401e-01,1.320960735464246291e-02
3.980475720300156173e-01,1.999999689805654013e+00,1.325789691376906554e-01,7.847693015462282873e-02,1.859374495811737527e-01,-5.140085860947536389e-01,-1.250815351238193651e-01,2.325160221256341447e-02,-4.902750619759898010e-01,4.582502303771483071e-02,-3.331920375117966571e-01
2.678113906196379901e-01,5.667146202382530307e-01,2.159204540009704021e-01,6.658984900274972363e-02,1.833403255584609981e-01,-4.596824542843327803e-03,-1.398784363971009937e-03,-4.136126282941054999e-02,8.140959383461503565e-03,4.613348559975383179e-02,-3.323446741100155588e-01
2.733732716671441465e-01,5.667314612600631296e-01,2.157746436275779778e-01,6.652972636041722121e-02,1.834356912643577142e-01,-3.706079356560634894e-03,2.666322708623139817e-03,4.214786273954097828e-02,7.770712268519043738e-03,4.615013549393999492e-02,3.525027820745592622e-01
4.843596088698642887e-01,1.583764209655910971e-01,1.846922830881960742e-01,2.094544756915207862e-01,6.806310072448160109e-02,1.543076884297596374e+00,-1.531274852765029948e+00,-3.119795694081020088e+00,4.519633170208504080e-01,4.559997802997363403e-02,-3.303796539332744531e-01
4.697241391224761253e-01,1.864914586341402947e-01,1.844360367088810349e-01,2.150744428007392850e-01,6.780997105326186380e-02,-1.562251008431182253e+00,-1.529488474008073640e+00,-8.872257131242485342e-03,-4.346537893880917380e-01,4.502936845890186807e-02,3.515292589162846704e-01
1.522824499602846160e-01,6.493147319681954466e-01,4.733771001048969751e-02,4.925548897069067372e-02,3.026081763321813445e-01,-1.529124776013494058e+00,-1.191581649445432323e+00,-3.861772242024405499e-02,-1.606512706786184241e-01,-1.222857937103360472e-02,-4.833617638321905940e-01
2.746983273371854661e-01,7.154055796334407580e-01,4.544250935844951211e-02,4.714657088326486972e-02,2.017838680276322905e-01,-3.677553048404614278e-01,-1.598898018756713890e+00,-1.185724350829783447e+00,-1.618742521341649809e-01,-9.628044038363078871e-02,-1.920722832013620762e-01
2.409986625472946564e-01,1.339287532743547615e+00,5.152515195424720723e-02,5.328864047042821545e-02,2.004669141636398755e-01,1.942999737875220068e-03,-7.910337106002152119e-01,-1.539928944293760038e+00,-1.621488568364270466e-01,-9.608230515729440646e-02,2.122032069960294587e-01
1.721138014020471008e-01,6.938637569439178865e-01,4.844628149403844286e-02,4.905640472969740457e-02,2.972080873159760883e-01,1.590804032654382416e+00,-1.189655741966432867e+00,3.122996575918526307e+00,-1.606145085311050935e-01,-1.713165023447042051e-02,5.048548984523426597e-01
6.057137080722324596e-01,1.136284994087388922e+00,5.802349978418142734e-02,1.778717485150005106e-01,1.139843244486062890e-01,1.784381876108746212e+00,-1.341767768429747543e+00,-3.346811896089939786e+00,1.698974085223768637e-02,2.145209001766247847e-01,-5.209456808606200973e-01
5.887566189121780091e-01,1.138389335099553534e+00,5.801874387765560553e-02,1.725284696365008974e-01,1.134636198742299124e-01,-1.793961129588377501e+00,-1.348895702110975314e+00,2.351670927911692910e-01,-5.162128605813106480e-03,2.151060775468560393e-01,5.418665201900326744e-01
2.354493584798864059e-01,7.965180944206089464e-01,4.807348242772779140e-02,5.364118913999588178e-02,3.008874961730149677e-01,-1.658207097157256671e+00,-1.188319393943880087e+00,8.046942017120650714e-02,1.779479559603562300e-01,-1.099187221350866189e-02,-4.822354401678884961e-01
1.480067095435939339e-01,6.732919939714141488e-01,5.029162331151558474e-02,4.142994400986699244e-02,1.965337090564991951e-01,2.394020835507595577e-03,8.542094352171437921e-03,-1.577773241250284952e+00,1.796465877533436895e-01,-9.541586560008358253e-02,-1.920702040838760116e-01
1.711391641021553778e-01,7.326399339178776282e-01,4.220702871003241541e-02,5.056257477731053440e-02,1.968838153234496458e-01,-1.686062599725919320e+00,-1.562989429332934499e+00,1.211126755266199173e-01,1.788898069524502976e-01,-9.520884054462873392e-02,2.121506389238277113e-01
2.494044728813978318e-01,8.105800015466078090e-01,4.834667508340279030e-02,5.366246728213370371e-02,2.993405057745673892e-01,1.503187739185116722e+00,-1.188461914166342392e+00,-3.079683996838613602e+00,1.779355210478463234e-01,-1.374111305711401589e-02,5.033136789662207011e-01
1.481343903303191933e-01,7.234420420188381051e-01,4.843093467806273977e-02,4.908785375581895677e-02,3.010616720550854941e-01,-1.553722655754368187e+00,-1.190511715211381771e+00,-1.744547798975311370e-02,2.819212998410988713e-01,-1.282831855212742886e-02,-4.831023335820709419e-01
1.694130492590463222e-01,6.195237860080110570e-01,4.210778053348845223e-02,4.734673626206797187e-02,2.003507510194264818e-01,7.109115472825695559e-01,-1.563561838363211276e+00,-2.281912375446050856e+00,2.817944261849632537e-01,-9.656016049939650236e-02,-1.915854046767913044e-01
4.633328910636226317e-01,1.953273653430768475e-01,1.853773838973664656e-01,2.087512889895025425e-01,6.816125634428364666e-02,-1.611658633103518756e+00,-1.531735084693863325e+00,3.491905544833593528e-02,4.524006208053932276e-01,4.540135314896952268e-02,3.510405320767980286e-01
6.171144257014483658e-01,1.014381144660589706e+00,5.752882204546744954e-02,1.672808170376919312e-01,1.135514724548061655e-01,1.238923176407096705e+00,-1.333504670603046005e+00,-2.803143551839542891e+00,4.294188963471646803e-01,2.148878353188868606e-01,-5.207186096065850034e-01
2.801739334780588564e-01,8.787058961132164780e-01,4.915810852054062347e-02,5.390546121828016651e-02,3.017554946880613431e-01,-1.566306494247964753e+00,-1.191585354105475947e+00,4.197006783674475661e-04,6.123433085556252431e-01,-1.182431356368029637e-02,-4.828694773765026538e-01
1.450399704766869302e-01,1.721089966421532447e+00,7.876038772617355299e-02,1.010118367432838726e-01,1.775843672033397824e-01,-8.663145148962553277e-01,-5.043333033075619171e-03,-1.083095174212040691e-03,-5.763822842327265272e-01,4.214797798803016082e-02,-3.299835310174177860e-01
2.202608989237967718e-01,6.442914667223605951e-01,4.720609865944159350e-02,4.987428580379098253e-02,2.975921597040634414e-01,1.642139394042485323e+00,-1.189952564604930041e+00,3.075907353640019437e+00,-6.049040915035595045e-01,-1.489492803655212590e-02,5.038840924353775730e-01
5.915306546281198230e-01,1.075228168054230160e+00,5.774680315064969344e-02,1.711299902024576436e-01,1.134947675388866956e-01,-1.937312450722880497e+00,-1.340666432151102594e+00,3.763404226773717776e-01,-4.537708858580533078e-01,2.150933635252613441e-01,5.411098881005886874e-01
1.153423626632646970e-01,5.913280926752698674e-01,4.085735918434986458e-02,4.844433731832632761e-02,1.974918795535094695e-01,1.689774083147697503e+00,-1.574917699627553569e+00,-3.265512796286384578e+00,-2.639144309940319455e-01,-9.738264575245665633e-02,2.122396309222679689e-01
3.939658656410833237e-01,8.057520569971932112e-01,4.888198210162342933e-02,4.910146001709504021e-02,3.249605594031217959e-01,1.602544407173261520e+00,-1.187675046187669725e+00,3.100823385670058219e+00,-2.641402338512839343e-01,2.187977472582062696e-03,4.965551484537493732e-01
6.105111702190533229e-01,9.076727709373864084e-01,5.766135635172812968e-02,1.594095907499650799e-01,1.132846397439656455e-01,9.127962592759640836e-01,-1.292494582737915287e+00,-2.475479648050963100e+00,-2.992369682226114769e-02,2.147205185586344711e-01,-5.182609543740750446e-01
1.203665859600947297e+00,6.635898028668771875e-01,8.954463359487117857e-02,1.237030116480296732e-01,5.759608912123476143e-02,2.077153443621031492e+00,2.574927479571312849e-01,2.195596077991074591e+00,-1.344526451360063823e-01,2.021057708842446676e-01,4.924797759896129556e-01
7.728704398314505397e-01,9.695644401167172743e-01,1.159382422807507668e-01,1.657880690337662222e-01,5.659596845376844987e-02,1.510699553704313525e+00,-1.998645020731605604e-01,2.263853224942770914e-01,5.837283532284869708e-02,2.168238368593692345e-01,5.367801700362028194e-01
6.403147786282030740e-01,1.463271937311514614e+00,1.448135553166506329e-01,5.674098825495124676e-02,9.332300869946331956e-02,-6.999464210645021112e-01,-7.735156699395629998e-01,-4.554769624335933464e+00,1.372165796794783399e-01,2.000733000878764101e-01,-4.842415746970550328e-01
2.710240322091661547e-01,9.976950931763748365e-01,5.026585247961432024e-02,4.836200973903592021e-02,2.006343087667464553e-01,-1.482866439236481537e-01,-1.301406630438593393e+00,-1.423512940638613999e+00,2.819548497811786292e-01,-9.807890444451072831e-02,2.116481591177597488e-01
6.678690155641214821e-02,7.118716515373205711e-01,4.758368623471506687e-02,4.864707832772912494e-02,2.652662458108620003e-01,1.536454302783114789e+00,-1.192349608093456359e+00,3.172222891998447203e+00,2.817947859476337413e-01,-4.427645474320902885e-02,5.159910837997438993e-01
6.487381741009001779e-01,1.072163913660309387e+00,5.810389007236689551e-02,1.735788977168830349e-01,1.142709477660186629e-01,-1.875787029654419902e+00,-1.333928257715280230e+00,3.122016128902319054e-01,4.309093372812888290e-01,2.148266519427939059e-01,5.407380838210406049e-01
7.065123083874723653e-01,1.731708220570522760e+00,6.124081037832476010e-02,1.396781437222315569e-01,8.868003969813476051e-02,4.834947154911228284e-01,-7.135597942438649532e-01,-4.468298166543016592e+00,3.163104831312882337e-01,2.030829867988929172e-01,-4.846287189957946273e-01
6.341083900712521926e-01,1.063265660428154513e+00,5.785214874987269773e-02,1.751437000446496306e-01,1.127043549588421373e-01,-1.120417733395568050e+00,1.330559082252581016e+00,-2.687055097585372643e+00,4.714007214483046382e-01,2.158724022220591954e-01,-5.199534505624113789e-01
3.789365879590114172e-01,9.567672172196663161e-02,3.673073487354663325e-01,8.048246270428074944e-02,4.626846953986406275e-02,-7.663380532267085599e-01,-1.570809636075591653e+00,-8.053553874712437999e-01,7.159896861349264174e-01,-2.589315918401546290e-01,1.047665147591347011e-02
2.989926008543626335e-01,1.253170994788716408e+00,5.433203347211405798e-02,5.471129745929970145e-02,3.019152400407671410e-01,3.945145076102823944e-01,-7.583367217883458800e-01,-2.106678669790543079e+00,6.130412863241417876e-01,-1.403664832595884031e-02,5.037311752603788051e-01
3.724537919342321701e-01,7.622673478039493355e-02,3.684412853041260094e-01,7.939206145271934800e-02,4.621228523560914209e-02,-1.886862130542810601e+00,-1.570778750917249056e+00,3.167968619693811716e-01,-6.972725148737374257e-01,-2.590047941863433123e-01,1.024636329420636899e-02
2.418067664911016101e-01,1.303184941441017708e+00,5.478739453516971725e-02,5.592271636882035352e-02,2.977217051361726319e-01,-3.489753881751372910e-01,-7.092748822788473850e-01,-1.059635649522097323e+00,-6.046228344739448257e-01,-1.500924027214156978e-02,-4.836406541696208761e-01
4.479365621174509204e-01,1.632558853320215664e-01,1.844509552832460930e-01,2.144797208710178260e-01,6.754582307653858586e-02,1.459395283085499262e+00,-1.529156819851142268e+00,3.247921331341382167e+00,-4.344252871666816063e-01,4.473164925191582680e-02,-3.316091140870262022e-01
6.670424469642217691e-01,1.754615660639401664e+00,1.487602027224695644e-01,5.988219569584203594e-02,8.835177550179934558e-02,-2.369371593119817820e+00,7.698360827669566975e-01,-1.325252079942397243e+00,-5.645405024720461240e-01,2.046365874825950282e-01,5.072978435247507134e-01
