eps1,eps2,ax,ay,az,eul_z,eul_y,eul_x,tx,ty,tz
1.260895404167765133e+00,5.635569617719432545e-01,2.088493156175113274e-01,1.199686287448103600e-01,1.529125598444724399e-01,1.446702708379349334e+00,-1.294304014835018224e+00,-2.778106679039590965e+00,1.324893529850924845e-02,7.554358891159547451e-02,-1.506287422991323122e-02
8.798630227825612327e-01,1.113356913698135831e+00,1.540265415264024940e-01,5.355623538787451787e-02,5.191590135295228586e-02,8.280259319619353020e-01,-2.816929027649426875e-01,-1.691686284131675433e-01,-3.474743819043825677e-01,2.765052376752083832e-02,-1.375265041063630511e-01
6.412732884031031588e-01,1.047288409519387287e+00,5.173793649928593030e-02,5.514763123474662049e-02,1.759241684411762541e-01,9.115046007653543336e-01,-1.024535482134074194e+00,1.139334743258507837e-01,-2.313213914132390969e-01,-4.188509705390486455e-03,2.328692652451952172e-01
1.073361652510801401e+00,1.021432553480184913e+00,2.026782776589425572e-01,1.611827056059972341e-01,2.249733606917985462e-01,-1.267970020579079274e-02,-1.384280114711491406e-02,-4.892285414681942224e-01,1.108055290799802445e-02,6.041585177412990559e-02,-5.458822441010011683e-01
9.677384501702561703e-01,7.662171691128878415e-01,1.981947042338138287e-01,1.721547466899579215e-01,1.374138966584954324e-01,-1.617959065805360419e+00,-1.063111468740077115e+00,4.569838775759610394e-02,6.991913607101643037e-03,9.386510340047303502e-02,3.582071446523750757e-01
8.953851340100573708e-01,1.210137301952261213e+00,1.569708234997404805e-01,6.506218399840511812e-02,6.019868829749479983e-02,6.676887574290845118e-01,1.308854515379725136e-01,7.391055314467434023e-01,2.033642650655922979e-01,2.999664899853541830e-02,-9.729568578878332319e-02
6.498246090847271672e-01,9.419915323650492889e-01,5.493081822045777635e-02,5.121807894659002880e-02,1.657189210644272326e-01,7.077614862281247365e-01,-3.071710534494080935e-01,-2.136416193417587817e+00,2.485495597021625258e-01,8.611685241232684869e-04,2.291934025414174014e-01
2.659495936897691148e-01,9.371101545522019238e-01,4.117124337320576810e-02,4.548091571383171272e-02,1.119206769438777782e-01,2.283930283449198129e+00,-1.148661699243396089e-01,1.103461396105705816e+00,-4.892118156764658221e-01,-1.592510016722028243e-01,-2.214904860549071763e-01
3.190547879436232415e-01,8.803905905847386748e-01,4.465116100945985128e-02,3.926816064155159991e-02,9.846906467288707443e-02,-3.075136362347779428e+00,8.436086207901719591e-01,-4.883143654037314096e-01,-3.399601877072358502e-01,-1.776124596206030415e-01,3.546131495531062994e-01
1.999999999999999112e+00,1.145085109857280514e+00,1.256331808262102223e-01,9.404395219377023607e-02,2.987684611702449700e-01,-9.636996070976257961e-03,-2.626940301233267674e-02,2.317813854228935322e-01,1.123818911004284896e-02,1.485970385865507115e-01,-3.372588291535187910e-01
1.108700522562470647e+00,6.149525290724656701e-01,1.970637063191811311e-01,5.096878194168788512e-02,4.871642759741776768e-02,-8.014190491825128326e-01,-1.248132482646530317e+00,-5.508390754469874029e-01,-2.401055064971681363e-01,1.119271548178353143e-01,6.222507343884677855e-01
1.040818011735936688e+00,1.115096919328929292e+00,6.314416285707014076e-02,1.604082164195441695e-01,6.512651914583454660e-02,-2.249099433570354911e+00,-1.466344959793874358e-01,1.616800166271556705e-01,-1.826158188876540744e-01,2.989710443485884758e-02,-9.679841271658237711e-02
1.112084396969557964e+00,8.775563988634145218e-01,7.959891452349922292e-02,6.521907557204587036e-02,1.956530486813576886e-01,-2.254074086694018764e+00,8.071713875705131824e-02,7.943604207117090921e-01,-1.018104779980231051e-01,3.085487216096815394e-02,6.259677869306225217e-02
