eps1,eps2,ax,ay,az,eul_z,eul_y,eul_x,tx,ty,tz
4.699869862816363209e-01,1.289440242656414437e+00,1.418982397969352494e-01,2.114541157734709798e-01,1.109856120042842093e-01,1.561058085410606422e+00,2.933262550910674671e-01,1.579259757409691156e+00,9.908605892031449591e-03,6.336879289888981692e-02,-1.492958070233005308e-02
8.343609799491018553e-01,1.032916875473497198e+00,1.508460953826411821e-01,5.268491325441084644e-02,5.196339919891370535e-02,8.238757768624118683e-01,-2.869754349292462092e-01,5.914428078698731606e-02,-3.498001150737191645e-01,2.248927089583556416e-02,-1.417467565282893582e-01
1.072981466904118664e+00,4.325763857683500579e-01,1.735086524444867939e-01,5.083252344029799696e-02,5.877443331132975457e-02,-2.097606420234209956e+00,-5.458817747668396336e-01,7.211905752865228614e-01,-2.296739850920791193e-01,-5.079863709482462797e-03,2.254485314750940550e-01
1.077310214139510114e+00,1.002255266878939732e+00,2.210506371131571446e-01,2.014813922452373673e-01,1.656878571992686511e-01,1.525825913356622321e+00,-1.076427585456698477e+00,3.157895497105957627e+00,1.117092362683828714e-02,5.479286859530731191e-02,-5.511692242830005251e-01
8.136073499852539692e-01,1.018582025980187655e+00,1.352417573644329740e-01,2.044206291378330154e-01,1.695490392197446516e-01,1.598936414646572768e+00,-5.383321155609830377e-01,1.536727352021988180e+00,6.251456281329084014e-03,8.832068626404519784e-02,3.546430462462658029e-01
1.183644529441204352e+00,8.173378538786023606e-01,6.273608325259634466e-02,1.744226025077654785e-01,6.665486959434854808e-02,-5.341413380860068338e-01,-1.220323045232263981e+00,-4.521070115350913077e-01,1.971042504465436718e-01,2.143101456544409603e-02,-9.959132033907230896e-02
5.911061734731919426e-01,9.925515545710186238e-01,5.155079631150814162e-02,5.472973693750045332e-02,1.794113189084084181e-01,-2.941092760139092377e-01,8.834917299063974605e-01,-2.503125894874623114e+00,2.547438324908482543e-01,-1.427060709910874317e-02,2.327660775394929937e-01
3.781685489800585276e-01,9.461596650270970299e-01,4.470101522715917014e-02,4.097707933581016398e-02,1.070631595437837869e-01,-2.672724133606570351e+00,-1.091420580045141753e+00,1.098980564321024173e-01,-4.925661929373037484e-01,-1.671306588501935420e-01,-2.274941906869176467e-01
8.836859497870283020e-01,4.963536481213903229e-01,1.108632886136536599e-01,4.167979019518381484e-02,4.032856918589759060e-02,6.696555309407259404e-01,6.681329287815659379e-01,1.802077704959168747e+00,-3.349137233067648878e-01,-1.766491466715614800e-01,3.460441772263273541e-01
8.720753159270302479e-01,9.152154518406676598e-01,5.782457526387618785e-02,5.565890348712884683e-02,1.560696743700715483e-01,1.589709588755076064e-01,5.667618124048795503e-01,-7.135560904433553286e-01,-2.054504898532092116e-01,7.106776948265638993e-02,-4.719789894134492902e-01
6.797143002405926504e-01,1.040446398131864347e+00,5.137113771948840363e-02,4.740338199793941998e-02,1.828510602118864903e-01,2.286562286048078041e-01,1.897636059903390071e-01,2.406559924163629571e-01,-2.430836788696894568e-01,1.104613344605221842e-01,6.097242106779193760e-01
8.234845639977276255e-01,1.172755328612460790e+00,6.356419392476060637e-02,1.746725877896652956e-01,5.962968079413728112e-02,-2.090827322355743423e+00,5.247447578509861765e-01,1.872779560839059609e-01,-1.783691166833530906e-01,2.187792077285628800e-02,-9.942485310647311558e-02
